article_title,paragraph_index,agreed_text,category,subcategory,bagozzi_text,inhouse_text,bagozzi_category,bagozzi_subcategory,inhouse_category,inhouse_subcategory,inhouse_vote_pattern
"'Pathetic Rout,' 'Tragic Mistake' And 'Painful' John Mccain Holds Little Back In Describing Helsinki",1,complicity in the slaughter of the syrian people,Inflammatory Language,Demonization,complicity in the slaughter of the Syrian people,"sovereignty of his neighbors, his complicity in the slaughter of the Syrian people,",Inflammatory Language,Demonization,inflammatory language,demonization,2-0
"'Pathetic Rout,' 'Tragic Mistake' And 'Painful' John Mccain Holds Little Back In Describing Helsinki",2,no prior president has ever abased himself more abjectly before a tyrant,Persuasive Propaganda,Exaggeration,No prior president has ever abased himself more abjectly before a tyrant,No prior president has ever abased himself more abjectly before a tyrant.,Persuasive Propaganda,Exaggeration,persuasive propaganda,exaggeration,2-0
"Trump Rips 'Horrible' New York Times, Washington Post, Wonders If People Will 'Demand' He Stay In White House",0,e amazon (lobbyist) washington,Inflammatory Language,Name-Calling,the Amazon (lobbyist) Washington Post,e Amazon (lobbyist) Washington,Inflammatory Language,Name-Calling,inflammatory language,name-calling,3-0
"Trump Rips 'Horrible' New York Times, Washington Post, Wonders If People Will 'Demand' He Stay In White House",0,america has been made great again,Persuasive Propaganda,Slogans,america has been made great again,"news is that at the end of 6 years, after America has been made GREAT again and I leave the beautiful White House",Persuasive Propaganda,Slogans,persuasive propaganda,slogans,3-0
"Trump Rips 'Horrible' New York Times, Washington Post, Wonders If People Will 'Demand' He Stay In White House",0,both of these horrible papers,Inflammatory Language,Name-Calling,both of these horrible papers,"both of these horrible papers will quickly go out of business & be forever gone,",Inflammatory Language,Name-Calling,persuasive propaganda,exaggeration,3-0
"Trump Rips 'Horrible' New York Times, Washington Post, Wonders If People Will 'Demand' He Stay In White House",0,a disgrace to our country,Inflammatory Language,Name-Calling,a disgrace to our Country,"They are both a disgrace to our Country, the Enemy of the People, but I just can't seem to figure out which is worse?",Inflammatory Language,Name-Calling,inflammatory language,demonization,3-0
"Trump Rips 'Horrible' New York Times, Washington Post, Wonders If People Will 'Demand' He Stay In White House",1,the failing new york times,Inflammatory Language,Name-Calling,the Failing New York Times,the Failing New York Times,Inflammatory Language,Name-Calling,inflammatory language,name-calling,2-1
"Trump Rips 'Horrible' New York Times, Washington Post, Wonders If People Will 'Demand' He Stay In White House",1,virtual act of treason,Inflammatory Language,Demonization,virtual act of treason,"committed a ""virtual act of treason"" by",Inflammatory Language,Demonization,inflammatory language,demonization,2-1
"Trump Rips 'Horrible' New York Times, Washington Post, Wonders If People Will 'Demand' He Stay In White House",2,suppression polls (they suppress the numbers),Persuasive Propaganda,Doubt,Suppression Polls (they suppress the numbers),"There new weapon of choice is Fake Polling, sometimes referred to as Suppression Polls (they suppress the numbers)",Persuasive Propaganda,Doubt,persuasive propaganda,doubt,3-0
"Trump Rips 'Horrible' New York Times, Washington Post, Wonders If People Will 'Demand' He Stay In White House",2,fake news,Inflammatory Language,Name-Calling,fake news,The Fake News has never been more dishonest than it is today,Inflammatory Language,Name-Calling,inflammatory language,name-calling,3-0
