Headline,News body,Topic,News Source,Rating
"editorial: six months after california's landmark police transparency law, many agencies still won't release their records","Sexual assaults . Planted drugs. Illegal choke holds. We've learned quite a bit about police misconduct in the six months since SB1421 , the landmark transparency bill from state Sen. Nancy Skinner, D-Berkeley, went into effect on Jan. 1. But the biggest thing we've learned is that many police departments believe that compliance with the law is optional. SB1421 requires police departments to release internal affairs records, many of which had been under seal for decades, documenting serious incidents including use-of-force incidents, sustained findings of sexual assault, and sustained findings of police dishonesty. Previous to SB1421's passage, California had some of the strictest confidentiality standards for police records in the nation. But the public has the right to know about these very serious events, which is why it was so important to pass SB1421. Another reason we know why SB1421 is important? So many police departments are resisting compliance. The California Highway Patrol, for example, employs more than 7,300 officers but has yet to produce the records required under the law. Media organizations have reported that their requests to many large police departments, including Long Beach, have not been honored. San Jose, California's third-largest city, hasn't released any of the new law's required, requested documents yet . The San Francisco Police Department has released only documentation from a handful of officer-involved shootings, and no disciplinary records. ""Law enforcement in San Francisco is deliberately sandbagging the release of these records,"" Jacque Wilson, San Francisco's deputy public defender, said at a June 5 police commission meeting . The public defender's office has discussed litigation in an effort to speed along the release of the records. Other police departments have attempted to avoid their responsibilities under the law by charging exorbitant fees for the records. Finally, some police agencies   Fremont and Morgan Hill are among them   destroyed their internal record archives dating before Jan. 1. This is lawless conduct, and it's depriving the public from the right to know about the activities of police in their communities. Police groups even tried to avoid complying with SB1421 by pushing a novel argument in the courts. They claimed that the law did not apply to records dated before 2019. Two different courts ruled against them . But the fact that these groups have had a powerful champion in their attempts to deny the public this information   Attorney General Xavier Becerra   is another signal that this fight isn't going away anytime soon. To her credit, Skinner isn't giving up. She's planning to call for oversight hearings, and has said she's open to amending the bill to require agencies to release records more rapidly. Sadly, both of these actions may be necessary. Another option may be for interested parties   including news media organizations, free speech advocates, and, in some cases, city attorneys   to force compliance through the courts. This action would be expensive, time-consuming and slow. Becerra's obvious bias toward the police groups could prove an obstacle, too. But doing nothing is not an acceptable option. The passage of SB1421 was a hard-fought battle to give the public transparency about police misconduct in their communities. No one   least of all the agencies that have sworn to protect and serve the public   should be allowed to thwart the law. This commentary is from The Chronicle's editorial board. We invite you to express your views in a letter to the editor. Please submit your letter via our online form: SFChronicle.com/letters .",crime,USA TODAY,center
BuzzFeed Journalists Protest in Push for Union Recognition,"(Bloomberg) -- Citing mismanagement, pay disparities and job cuts, BuzzFeed News employees walked off the job on Monday afternoon in the hopes of getting the online-media company to voluntarily recognize their union. Employees in New York, Washington, Los Angeles and San Francisco are taking part in the protests, according to the NewsGuild of New York. Plans for the walkout were first reported by Bloomberg News. Video of the walkout showed BuzzFeed employees standing outside the company's New York office chanting and carrying signs that said ""Recognize the BuzzFeed Union!!"" There was also a giant inflatable rat -- a common form of protest by striking trade unions. The staffers are taking a page from employees at Vox Media, who staged a walkout earlier this month and soon clinched their first labor agreement. Despite four months of negotiations, BuzzFeed News employees and management still can't agree on which workers are eligible to be part of the new bargaining unit -- a question that unions and companies frequently spar over. ""Throughout the process, BuzzFeed has attempted to exclude workers they claim are managerial, supervisory or confidential despite the fact that these journalists neither manage employees nor are privy to confidential information,"" according to the statement. Job Cuts BuzzFeed News staffers agreed to unionize in February, saying they would seek better benefits and fair pay after seeing some colleagues lose their jobs the prior month. Since then, they've been calling on BuzzFeed's management to recognize their union. ""We have legitimate grievances about unfair pay disparities, mismanaged pivots and layoffs, weak benefits, skyrocketing health insurance costs, diversity, and more,"" the BuzzFeed News Organizing Committee said in a statement. In a note to staff Monday, BuzzFeed Chief Executive Officer Jonah Peretti said the company's journalists refused to accept an offer on June 4 and are ""seeking to impose additional demands that threaten our progress around voluntary recognition."" He said the company needed a way to identify employees who are included and excluded from the bargaining unit. ""Our proposal is both responsive to our employees' requests, and mindful of the way the company operates,"" Peretti said. In January, BuzzFeed eliminated 15% of its headcount, part of a wave of layoffs at media outlets this year. Publishers like BuzzFeed, once the darlings of the media industry, have struggled to find profitable business models. The tumult has led journalists at several media outlets to opt for collective bargaining. While that hasn't prevented layoffs, it has in some cases cushioned the blow. For instance, agreements can help ensure that workers who lose their jobs get severance pay. Hundreds of Vox Media employees walked off the job earlier this month. A day later, they reached a tentative labor agreement. The union contract includes minimum salary guarantees and four months of paid parental leave, among other things. (Updates with Peretti's note to staff in eighth paragraph.) --With assistance from Josh Eidelson. To contact the reporter on this story: Gerry Smith in New York at gsmith233@bloomberg.net To contact the editor responsible for this story: Nick Turner at nturner7@bloomberg.net For more articles like this, please visit us at bloomberg.com ©2019 Bloomberg L.P.",politics,Bloomberg,center
DC mayor says Trump's Fourth of July celebration emptied security fund,"AP Domestic Nation's capital holds its Independence Day Parade The nation's capital held its Independence Day Parade along historic Constitution Avenue with the backdrop of the Washington D.C monuments. (July 4) WASHINGTON   District of Columbia Mayor Muriel Bowser government says that the cost of President Donald Trump's Fourth of July celebration and the cost of addressing recent protests has emptied out a municipal fund used to provide security for public events and defend against terrorist threats. In a letter to Trump dated July 9, Bowser says the city spent about $1.7 million on Trump's ""July 4th holiday activities and subsequent first amendment demonstrations,"" as a result, the city's Emergency Planning and Security Fund (EPSF) will likely be empty before the end of the fiscal year. Bowser asked for the Trump administration's help in covering D.C.'s security costs, citing ""declining reserves, increased demand for heightened security, and a one-time draw down of $7.3 million to cover security costs associated with the 2017 Presidential Inauguration."" More: 'This says something': Thousands gather in Washington for Donald Trump's 4th of July celebration More: 'Are you proud to be an American?' Why Trump's 4th of July was a tale of three different celebrations More: 'Nothing America cannot do': Donald Trump touts U.S. military strength in 4th of July speech ""This large, one-time cost has been compounded by Congress only appropriating approximately $13 million to the EPSF for the past few years (when our annual expenditures near $16.5 million), and some unplanned large events such as the state funeral for the late President George H.W. Bush,"" Bowser added. ""As we continue to gather estimates for the next Inauguration, we ask for your help with ensuring the residents of the District of Columbia are not asked to cover millions of dollars of federal expenses and are able to maintain our high standards of protection for federal events,"" Bowser concluded. Trump's Fourth of July speech marked a departure from tradition as it included tank displays, plane flyovers, fireworks, and a speech from the president. Trump's critics had argued the speech threatened to politicize what had previously been a nonpartisan holiday tradition. Demonstrators brought along a ""Baby Trump"" balloon and a ""Dump Trump"" robot to protest the president. More: Flag burning in front of White House leads to scuffle amid 4th of July celebrations More: Far-right extremists Proud Boys outnumbered by counter-protesters at Washington, DC, rally Some protests grew more heated. A brief scuffle broke out outside the White House following a flag-burning protest on July 4, and dueling protests and counter-protests between the Proud Boys and Antifa and other counter-protesters took place on July 6. More: Like what you're reading? Download the USA TODAY app for more This article originally appeared on USA TODAY: DC mayor says Trump's Fourth of July celebration emptied security fund",politics,USA TODAY,center
Protest in Madrid as conservatives suspend ban on most polluting cars,"MADRID (Reuters) - Thousands protested in Madrid on Saturday against the suspension of curbs on polluting cars by the new conservative city hall, raising fears that environmental rollbacks seen in the United States may be spreading to Europe. The first reversal of environmental policies by a major European city comes despite soaring global environmental concerns and is a fresh sign of growing divisions in Spain after a series of inconclusive elections in April and May. Last November Madrid's then far-left government banned most petrol and diesel cars from its center to tackle high levels of nitrogen dioxide. The policy was known as ""Madrid central"" and it was intended to bring Madrid into line with EU clean air rules which it had been violating since 2010. ""Yes we can, I do want Madrid central,"" chanted the protesters. Some were holding banners that read ""I want to breathe free"" and ""We aspire to have a Madrid without smoke"". ""We have to save (the planet) starting at the local and small level, the first thing is Madrid's center,"" said Laura Martin, a 39-year-old actress. She added that she was concerned that the new Madrid government might have some similar ideas to U.S. President Donald Trump's rollback of environmental policies, such as weakening rules limiting carbon emissions from power plants and standards on harmful gas emissions from cars and trucks. People of all ages rallied despite a scorching heatwave in Spain and most of Europe, which had already forced the city of Paris to ban more than half of all registered cars from its roads earlier this week because the heat worsens pollution. Various European cities including Paris, Hamburg, Amsterdam, London and Oslo have started to penalize or ban older polluting cars as they seek to phase out all fossil fuel cars in the coming decade. Environmental groups including Greenpeace say the ""Madrid central"" measure slashed air pollution levels from car emissions in the center to record lows. The new city hall run by the conservative People's Party suspended fines on cars entering the currently restricted area of around five sq km (two sq miles) from July 1, while it reviews the plan to make it ""compatible with citizens' mobility needs"". ""As far as I know at the European level there's no precedent in ending a car traffic restriction,"" said Lara Lazaro, researcher of the Real Instituto Elcano. The European Commission has warned Spain that it would face sanctions and a possible lawsuit if it fails to meet air quality standards in its largest cities of Madrid and Barcelona. (Reporting by Elena Rodriguez, writing by Andrei Khalip and Joan Faus; Editing by Stephen Powell)",environmental issues,Reuters,center
tutankhamun sculpture's london auction sparks egyptian outcry,"A 3,000-year-old head sculpture of an eternally-young Tutankhamun -- the Egyptian pharaoh known as King Tut -- goes under the hammer this week in London despite an outcry from Cairo. Christie's expects the 28.5-centimetre (11-inch) brown quartzite relic from the Valley of the Kings to fetch more than £4 million ($5.1 million, 4.5 million euros) on Thursday. The Financial Times reported that it was the first such Egyptian statuette to go on the market since 1985. The pharaoh's finely-chiselled head -- its serene eyes and puffed lips emoting a sense of eternal peace -- comes from the private Resandro Collection of ancient art that Christie's last sold in 2016 for £3 million. But Egyptian authorities overseeing the north African country's unparalleled collection of antiquities want to see the auction halted and the treasure returned. ""The Egyptian embassy in London requested the British foreign affairs ministry and the auction hall to stop the sale,"" Egypt's foreign ministry said on June 10. Former antiquities minister Zahi Hawass told AFP on Sunday that the piece appears to have been ""stolen"" in the 1970s from the Karnak Temple complex of Egypt's great monuments. ""The owners have given false information,"" he said in a telephone interview. ""They have not shown any legal papers to prove its ownership."" The French-owned British auction house explained that the current lot was acquired by Resandro from a Munich-based dealer in 1985. It traces its prior origins to the 1973-74 acquisition by another dealer in Austria from the Princely House of Thurn and Taxis in modern-day Germany. The trail peters out shortly afterwords and little is known to the public about how the statue found its way to Europe. ""Ancient objects by their nature cannot be traced over millennia,"" Christie's said in a statement released to AFP. ""It is hugely important to establish recent ownership and legal right to sell which we have clearly done,"" it added. ""We would not offer for sale any object where there was concern over ownership or export."" Britain's Foreign Office has been in touch with Egyptian authorities but is not expected to intervene. - 'Legitimate market' - Tutankhamun is thought to have become a pharaoh at the age of nine and to have died about 10 years later. His rule would have probably passed without notice were it not for the 1922 discovery by Britain's Howard Carter of his nearly intact tomb. The lavish find revived interest in ancient Egypt and set the stage for subsequent battles over ownership of cultural masterpieces unearthed in colonial times. International conventions and the British government's own guidance restrict the sale of works that were known to have been stolen or illegally dug up. The British Museum has been wrangling for decades with Greece over its remarkable room full of marble Parthenon friezes and sculptures. Egypt's own campaign to recover lost art gained momentum after numerous works went missing during the looting that accompanied former president Hosni Mubarak's fall from power in 2011. The late Egyptian strongman turned the existing supreme council of antiquities into a separate ministry in the last year of his rule. It has worked with the Los Angeles-based Getty Conservation Institute to mend Tutankhamun's tomb from the damage it sustained from swarming tourists over recent years. The ministry also asked the UN cultural body UNESCO to halt Christie's sale. But Egypt has been unable to substantiate its case with firm proof that the bust was illegally obtained. The London auction house said in its defence that there was a ""legitimate market for works of art of the ancient world in which Christie's has participated for generations"".",health,Associated Press,center
meghan markle has been branded 'difficult' by tabloids. it's the same sexism that demonizes driven women in the workplace.,"Tabloids have reported that Meghan Markle is known among palace staff as ""duchess difficult,"" Me-Gain,"" and ""Hurricane Meghan."" She has been said to send emails to her staff at 5 a.m. and ""bombards"" her aides with texts. Disparaging a member of the royal family for having too many ideas or caring too much about charity work is ridiculous. It rings of the sexism that often demonizes driven women as ""abrasive"" or ""bossy"" while men are praised for being ""aggressive."" People love tearing down powerful women by dismissing them as difficult divas. Visit INSIDER's homepage for more stories. Kensington Palace is notoriously tight-lipped about rumors regarding members of the royal family. But throughout Meghan Markle's first year as a royal, reports have surfaced featuring unflattering nicknames for the Duchess of Sussex such as "" duchess difficult, "" "" Me-Gain, "" and "" Hurricane Meghan ."" The supposed grievances that have earned Markle these titles include waking up at 5 a.m., ""bombarding"" her aides with texts , and holding ""undercover"" meetings with British citizens affiliated with charitable causes. Angela Levin, royal biographer and author of ""Harry: Conversations with the Prince,"" also said in the CBS special ""Harry and Meghan Plus One"" that Markle is ""not popular"" among Prince Harry's friends because ""they seem to think that she's running the show."" Indeed, Markle is already the patron of four different organizations, two of which were handed down to her directly by Queen Elizabeth . She's also been known to break royal protocol when interacting with the public the way Princess Diana often did. She opts for hugs over handshakes, wears pantsuits instead of more traditional royal formal wear , and is a proud feminist which is perhaps enough to ruffle some feathers in British high society. Read more : Every time Meghan Markle broke royal protocol Controversy surrounding Markle's role in the royal family is not new Even before she and Harry were engaged, Markle was subject to such a volatile "" wave of abuse and harassment "" from members of the press and anonymous trolls that Harry's communications secretary issued a rare statement condemning the ""outright sexism and racism"" she faced. The scrutiny has only intensified since the royal couple married last year and welcomed their son Archie in May, thrusting them even further into the public eye. These days, Markle is being labeled ""difficult"" and unpopular because it seems that she's ""running the show."" This type of gender bias is also not new. Disparaging Markle for having too many ideas or caring too much about charity work rings of the sexism that often demonizes driven women A 2012 study published in Research in Organizational Behavior found that descriptive gender stereotypes (ideas about what women are like) and prescriptive gender stereotypes (ideas about what women should be like) impede women's professional advancement . When women exhibit a more assertive leadership style stereotypically associated with men, they face ""disapproval and social penalties"" that keep them from getting promoted. One study of women in tech published in Fortune found that women are more often called ""abrasive"" and ""bossy"" in performance reviews while men are praised for being ""aggressive."" A Skyline Group International report also found that "" Women who check detailed progress every day are seen as micromanaging and bossy "" and that ""employees are more receptive to women in leadership who present themselves with poise and authenticity."" All of Markle's supposed transgressions - waking up early, sending ideas and delegating tasks to her staff, holding meetings with potential partners - sound like a woman with ambition. What's truly ""difficult"" is why people feel the need to ridicule her for it. Read more: Prince Philip reportedly told Prince Harry not to marry Meghan Markle because 'one steps out with actresses, one doesn't marry them' Meghan Markle has overtaken Kate Middleton as the most influential royal style icon, according to a fashion search platform Every time Meghan Markle broke royal protocol Meghan Markle's official job title is 'Princess of the United Kingdom.' Here's what her role actually involves",crime,Chicago Tribune,center
Biden criticizes Amazon for paying $0 in corporate taxes,"Former Vice President Joe Biden on Thursday criticized online retail giant Amazon for paying nothing in corporate taxes last year, making him the latest presidential candidate to slam one of the most profitable companies over its effective tax rate of below zero. "" I have nothing against Amazon, but no company pulling in billions of dollars of profits should pay a lower tax rate than firefighters and teachers,"" Biden tweeted. ""We need to reward work, not just wealth."" I have nothing against Amazon, but no company pulling in billions of dollars of profits should pay a lower tax rate than firefighters and teachers. We need to reward work, not just wealth. https://t.co/R6xaN3vXGT - Joe Biden (@JoeBiden) June 13, 2019 A report from the Institute on Taxation and Economic Policy earlier this year found that 60 Fortune 500 companies, including Amazon, avoided paying any federal income taxes in 2018. Amazon, which had $11.2 billion in profits last year, has become a prime target for Democrats seeking to criticize corporate power, potentially anticompetitive practices and dangerous working conditions. The company has been accused of mistreating warehouse workers, and it's facing multiple lawsuits from former employees who said they were treated inhumanely at the facilities. Amazon has said it treats its workers fairly. Biden jumped into the fray earlier this week, slamming the company at a campaign stop in Iowa on Tuesday. ""I've got nothing against Amazon,"" Biden said . ""But they should pay a few taxes, you know what I mean? What happens? It's all you guys. No, I'm serious."" In a statement to The Hill, an Amazon spokesperson defended the company's record on taxes. ""Amazon pays all the taxes we are required to pay in the U.S. and every country where we operate, including paying $2.6 billion in corporate tax and reporting $3.4 billion in tax expense over the last three years,"" the spokesperson said in a statement. ""The government has designed corporate tax law to encourage businesses of all sizes to invest in the U.S. economy to drive growth and create jobs."" The spokesperson added that the company invested more than $50 billion and created 45,000 full-time, full-benefit jobs last year. Biden's remark that he has ""nothing against Amazon"" raised eyebrows, as it comes amid a furious backlash in Washington against the country's top tech giants. Lawmakers and advocates have accused Amazon of wielding its corporate power to the detriment of other companies and workers. Sen. Elizabeth Warren (D-Mass.) has called for the government to break up Amazon, criticizing the company for running an online retail store while also selling products on the platform. "" Amazon crushes small companies by copying the goods they sell on the Amazon Marketplace and then selling its own branded version,"" Warren wrote in a blog post laying out her plans to break up tech companies like Facebook and Google. Sen. Bernie Sanders (I-Vt.) has taken Amazon to task over its working conditions, among other things. The company has also drawn the ire of President Trump, who has insulted CEO Jeff Bezos, who also owns The Washington Post. The president has accused the Post of being biased against him. Earlier this week, Trump accused Amazon of colluding with Democrats to ""discriminate"" against him. Updated at 12:35 p.m.",politics,The Hill,center
trump vows to cure cancer and eradicate aids,"As President Trump officially kicked off his 2020 campaign in Orlando Tuesday night, he made sweeping promises to tackle two of mankind's most dreaded diseases. In front of the crowd at a packed Amway Center, Mr. Trump said his administration would work to cure cancer and again vowed to eradicate AIDS if he's elected to a second term. The president spent much of his speech attacking familiar foes and restating his position on issues like immigration. But he also said his administration will ""come up with the cures"" to devastating diseases. ""We will push onward with new medical frontiers,"" Mr. Trump said. ""We will come up with the cures to many, many problems, to many, many diseases including cancer and others. And we're getting closer all the time."" The remarks came after his son, Donald Trump Jr., mocked Democratic presidential candidate and former Vice President Joe Biden for making a similar promise to cure cancer. ""Wow, why the hell didn't you do that over the last 50 years, Joe?"" Trump Jr. tweeted. Biden, whose son Beau Biden died from brain cancer in 2015, founded the Biden Cancer Initiative and told the crowd at a recent campaign event in Iowa, ""I promise you, if I'm elected president, you're going to see the single most important thing that changes America   we're going to cure cancer."" In 2018, an estimated 1,735,350 new cases of cancer were diagnosed in the United States and 609,640 people died from the disease, according to the American Cancer Society 's latest statistics. President Trump also called attention at his rally to the fight against HIV and AIDS. In his State of the Union address earlier this year, he vowed to eradicate AIDS by 2030   though critics pointed out his budget proposal the previous year sought to divert money away from HIV/AIDS research to fund detention centers for undocumented immigrant children. In its 2020 budget proposal, the Trump administration has requested $291 million for the first phase of an initiative to reduce new HIV infections in the U.S. The budget also calls for an increase in funding for the Ryan White HIV/AIDS Program, to pay for health care services and support, and another $50 million to expand access to the anti-HIV drug regimen known as PrEP . ""We will eradicate AIDS in America once and for all   and we are really close,"" the president said at his Orlando rally. Approximately 1.1 million people in the U.S. are living with HIV today, according to the Centers for Disease Control and Prevention . Some observers couldn't help but wonder about the feasibility of the president's big promises, which also included a vow to send astronauts to Mars. In this single clip, Trump promises to cure cancer, AIDS, and ""lay the foundation"" for a Mars landing -- all in his second term pic.twitter.com/aLZqbx2p3N   Aaron Rupar (@atrupar) June 19, 2019 Mr. Trump, who has called for the creation of a military Space Force , also spoke again about sending astronauts to the Red Planet. ""We will lay the foundation for landing American astronauts on the surface of Mars,"" he said at Tuesday night's rally.",legal arguments,USA TODAY,center
donald trump's criminal justice reform shows results,"Most people are not aware of the First Step Act, signed into law by President Trump in December of 2018. It is a major achievement in improving the criminal justice system, long overdue. This law seeks to incentivize prison inmates to participate in training programs targeted at increasing opportunities once released. Participation can earn as many as 47 days per year knocked off their sentences. Inmates also earn lighter sentences while ensuring, after release, they will become a productive member of society. We all want to see criminals pay their debts for committing crimes, particularly violent felonies. No argument there. But imposing extreme sentences on people who will spend 20 to 50 years behind bars does nothing to rehabilitate. Rather, it further reduces opportunities for ex-inmates to become productive citizens. Some want to see criminals enter prison for decades. But we forget that most of those inmates will be coming out one day, with nothing but the clothes on their backs. Not everyone has family members or friends. Not all have support systems. Many are released without any source of income. Ricky L. was a 31-year-old armed robber who had spent nearly 90% of his adult years in prison. He had no friends or family. No money, no transportation. When he applied for jobs, he was rejected because of his felony record. Finally, he resorted to committing a series of crimes in hopes of getting caught. Still free, he checked himself into a hospital and confessed to doctors. Ricky wanted to go ""home."" He didn't know how to be free. He died in prison. The president deserves kudos for his latest efforts in tackling long overdue needs of the criminal justice system in America. At a White House event this month, President Trump was joined by Tennessee Gov. Bill Lee and justice reform advocate and TV star Kim Kardashian West, who was a key figure in obtaining the release of Matthew Charles from a Tennessee prison. Charles spent two decades incarcerated for selling crack cocaine. Legislators and judges are certainly concerned about getting elected, or re-elected. A death knell against winning at the polls is to appear ""soft on crime,"" generally measured in sentencing practices. That, in turn, results in many years behind bars accomplishing nothing. Judges are subject to following rules. Sentences for many felonies are spelled out in minimum mandatory guidelines from which judges cannot ignore. The First Step Act helps judges circumvent minimum mandatories, in appropriate situations. Too often, an 18-year-old makes a mistake for which he will pay until he's 90 years old. Charles was the first person to be released under the First Step Act. According to the National Review, another 1,151 crack cocaine sentences have been reduced. With Trump by her side, Kardashian West announced that she has also been working on a ride sharing program to help former inmates get transportation to jobs and/or interviews. I have often written about the extreme and morally damaging sentencing practices of the modern era. Our prison system is supposed to be a source of rehabilitation, when in fact, it is little more than a system for warehousing human beings. Yes, we want bad people punished. Their victims deserve that. But we also must deal with the final outcome at the end of that tunnel. Overall, warehousing is a costly endeavor. According to the Vera Institute of Justice, taxpayers spend an average of $31,000 per year, per inmate. California's average is $60,000. That does not take into account the population of aging inmates, where costs run much higher. The prison population has now soared to roughly 131,000 inmates over age 55. That's a lot of medical expenses. America houses approximately 2.3 million people in jails and prisons. Prison rates in the U.S. are the world's highest at 724 per 100,000. Russia is second, at 581 per 100,000. We need to do better. The First Step Act is a great start. Marshall Frank is a retired police captain from Miami-Dade County, author and frequent contributor. Visit marshallfrank.com. This article originally appeared on Florida Today: Donald Trump's criminal justice reform shows results",politics,National Review,right
GOP lawmaker suggests Colin Kaepernick move to a different country,"Rep. Mo Brooks, an Alabama Republican, suggested former NFL quarterback Colin Kaepernick should consider moving to another country if he is unhappy with the United States. When asked to weigh in on the controversy over Nike sneakers with a Revolutionary War-era flag, Brooks told SiriusXM Patriot's Breitbart News Tonight that Kaepernick ""ought to consider moving to a country where he believes the laws are better for his purposes."" Kaepernick, who is well known for his political activism, made headlines last week when he complained to Nike, who sponsors him, about their ""Air Max 1 Quick Strike Fourth of July"" trainer because it featured an image of the Betsy Ross version of the American flag. He told the company it shouldn't sell a shoe with a symbol that he and others consider offensive because the flag marked an era when slavery existed in the United States, according to the Wall Street Journal . After the company shipped the shoes to retailers, Nike asked for them to be returned. In a statement, Nike spokeswoman Sandra Carreon-John said, ""NIKE made the decision to halt distribution of the Air Max 1 Quick Strike Fourth of July based on concerns that it could unintentionally offend and detract from the nation's patriotic holiday."" The Betsy Ross American flag is the nickname for the design of 13 stars that represents the 13 colonies arranged in a circle. It has been used periodically by some white supremacist groups such as the Ku Klux Klan, but it does not appear in the Anti-Defamation League's database of hate symbols and is widely seen as a patriotic flag that even appeared at former President Barack Obama's second inauguration. Brooks said there are some ""very radical people in the United States of America who don't like America."" ""They don't like the foundational principles that have made us a great nation, and I would put Mr. Kaepernick in that category ... In my mind, perhaps he ought to consider moving to a country where he believes the laws are better for his purposes,"" he continued. ""I doubt he will do that because in this country we've had over a million Americans die fighting for our liberties. All of these things that we enjoy he seems to frown upon, and so I just assume he'd leave.""",politics,Breitbart News,right
Trump hits polling on Fox News: 'Something weird going on at Fox',"President Trump on Monday dismissed a new poll from Fox News that showed him losing to multiple 2020 Democratic presidential candidates, saying ""something weird"" is happening at the network favored by conservatives. . @FoxNews Polls are always bad for me. They were against Crooked Hillary also. Something weird going on at Fox. Our polls show us leading in all 17 Swing States. For the record, I didn't spend 30 hours with @abcnews , but rather a tiny fraction of that. More Fake News @BretBaier - Donald J. Trump (@realDonaldTrump) June 17, 2019 Fox News on Sunday released a poll that showed Trump trailing five Democratic presidential contenders in hypothetical 2020 match-ups. The survey showed former Vice President Joe Biden leading Trump by 10 points. It also showed Sen. Bernie Sanders (I-Vt.) carrying a 9-point lead in a hypothetical head-to-head match-up. Three other Democratic candidates - Sen. Elizabeth Warren (D-Mass.), Sen. Kamala Harris (D-Calif.) and South Bend, Ind., Mayor Pete Buttigieg - also polled ahead of Trump, albeit within the survey's margin of error. A Quinnipiac University survey released last week also showed Trump trailing a number of Democratic contenders, including Biden by 13 points. Trump has repeatedly downplayed recent polling of his 2020 election prospects in the last week. The president tweeted earlier Monday that ""only fake polls"" showed him behind 2020 Democrats, referring to them as a ""Motley Crew."" ""We are looking really good, but it is far too early to be focused on that,"" he said. ""Much work to do! MAKE AMERICA GREAT AGAIN!"" The new comments from Trump came just a day after news surfaced that his campaign had cut ties with some of its pollsters following a leak of internal surveys that showed Trump trailing Biden in multiple key states. Trump is known to have a cordial relationship with many Fox News personalities and has appeared on the network more than any other. But he has increasingly criticized it over its campaign coverage, particularly when it chooses to cover 2020 Democrats. He said in May that Fox News host Chris Wallace was ""wasting airtime"" by hosting a town hall with Buttigieg. ""Fox is moving more and more to the losing (wrong) side in covering the Dems,"" he said, adding, ""They forgot the people who got them there.""",politics,Fox News,right
"'if you're directly complicit in spreading hate, consider dining at home': restaurant owner who kicked sarah sanders out last year defends chicago server who spat on eric trump in a cocktail bar","The Virginia restaurant owner who kicked Sarah Huckabee Sanders out of her restaurant last year is defending the Chicago cocktail bar server who spat in Eric Trump's face last week, saying politicians involved in 'spreading hate' should consider dining at home. Stephanie Wilkinson made headlines last year when she booted Sanders out of her restaurant the Red Hen in Lexington, Virginia. Now she's backing the unnamed server at the upscale Chicago bar The Aviary who spat in Eric Trump's face as he walked in on Tuesday night and was briefly detained by Secret Service agents. Wilkinson says restaurants are 'a part of the soundstage for our ongoing national spectacle'. 'Whether the bar or restaurant serves merely as the backdrop... or takes an active role in the drama, as was the case with Cracker Barrel, Aviary or my restaurant last June, the business involved inevitably comes under attack,' Wilkinson wrote in an opinion piece for the Washington Post published Friday. 'A portion of the public will scold owners and managers about ""staying in their lane"" and express chagrin at the loss of a perceived ""politics-free zone,""' she added. Despite an open service policy where it's illegal to deny someone service because of their race, religion or national origin, Wilkinson says eateries have the right to refuse service. 'If you're an unsavory individual - of whatever persuasion or affiliation - we have no legal or moral obligation to do business with you,' she said. She added that the high-profile clashes usually have nothing to do about the meals themselves. 'It's more often a frustrated person (some of whom are restaurant employees) lashing out at the representatives of an administration that has made its name trashing norms and breaking backs,' she said. 'Not surprising, if you think about it: You can't call people your enemies by day and expect hospitality from them in the evening,' she added. Wilkinson closed her op-ed saying that when the world returns to 'its normal axis' there will be less 'highly charged encounters' making headlines. But for now her message is clear. 'In the meantime, the new rules apply. If you're directly complicit in spreading hate or perpetuating suffering, maybe you should consider dining at home,' she said. 'For the rest, your table is waiting,' she added. Wilkinson's bold move to ask Sarah Sanders to leave the Red Hen in June 2018 when she arrived with seven family members was met with public outrage and support. Following the incident Sanders tweeted about the encounter saying she 'politely left' and '[Wilkinson's] actions say far more about her than about me. I always do my best to treat people, including those I disagree with, respectfully and will continue to do so.' Wilkinson said that her employees felt uncomfortable having Sanders there and took a vote before asking her to leave. On Tuesday June 25 Eric Trump was visiting Chicago for work when he walked into the upscale Aviary bar - run by the famed chef Grant Achatz. After entering a female server approached him and allegedly spat on him. U.S. Secret Service took that employee into custody and Chicago Police arrested her. Eric then asked Chicago Police to let her free when told she would otherwise be charged. Alinea Group, which runs the bar, says that the employee has been placed on leave.",politics,Boston Herald,right
