architecture,provider,model,prompt,titles_compared,prediction_total,gold_total,polarization_precision,polarization_recall,polarization_f1,category_precision,category_recall,category_f1,subcategory_precision,subcategory_recall,subcategory_f1,prediction_path,rank_by_polarization_f1,best_polarization_f1,best_category_f1,best_subcategory_f1,best_polarization_recall
single small model,OpenAI,GPT-5 mini,P3 short spans,26,131,86,0.466,0.709,0.562,0.412,0.628,0.498,0.382,0.581,0.461,/Users/kathleenhiggins/mturkstudy-3/src/llm_annotation_results/2-20/npl_prompt_comparison/prompt_3_precision_short_spans_single_models/openai_gpt_5_mini/final_annotations.json,11,False,False,False,False
OG adjudication,multi-model,GPT-5.1 + Gemini Pro + Claude Sonnet -> Claude Opus,P1 default,26,128,86,0.461,0.686,0.551,0.383,0.57,0.458,0.344,0.512,0.411,/Users/kathleenhiggins/mturkstudy-3/src/llm_annotation_results/2-20/npl_prompt_comparison/adjudication_prompt_1_to_5/prompt_1_default_original_temp0p0_run1/final_annotations.json,12,False,False,False,False
single small model,OpenAI,GPT-5 mini,P4 boundary,26,122,86,0.467,0.663,0.548,0.385,0.547,0.452,0.336,0.477,0.394,/Users/kathleenhiggins/mturkstudy-3/src/llm_annotation_results/2-20/npl_prompt_comparison/prompt_4_boundary_examples_precision_single_models/openai_gpt_5_mini/final_annotations.json,13,False,False,False,False
single small model,Gemini,Gemini 3.1 Flash Lite,P5 human aligned,26,117,86,0.47,0.64,0.542,0.376,0.512,0.433,0.359,0.488,0.414,/Users/kathleenhiggins/mturkstudy-3/src/llm_annotation_results/2-20/npl_prompt_comparison/prompt_5_human_aligned_precision_recall_single_models/gemini_gemini_3_1_flash_lite/final_annotations.json,14,False,False,False,False
single small model,Gemini,Gemini 3.1 Flash Lite,P2 Bagozzi,26,106,86,0.491,0.605,0.542,0.349,0.43,0.385,0.292,0.36,0.323,/Users/kathleenhiggins/mturkstudy-3/src/llm_annotation_results/2-20/bagozzi_intersection_single_model_dr_bagozzi_prompt/gemini_gemini_3_1_flash_lite/final_annotations.json,15,False,False,False,False
single strong model,Anthropic,Claude Sonnet 5,P5 human aligned,26,137,86,0.438,0.698,0.538,0.401,0.64,0.493,0.372,0.593,0.457,/Users/kathleenhiggins/mturkstudy-3/src/llm_annotation_results/2-20/npl_prompt_comparison/prompt_5_human_aligned_precision_recall_strong_single_models/claude_claude_sonnet_5/final_annotations.json,16,False,False,False,False
OG adjudication,multi-model,GPT-5.1 + Gemini Pro + Claude Sonnet -> Claude Opus,P4 boundary,26,131,86,0.427,0.651,0.516,0.397,0.605,0.479,0.374,0.57,0.452,/Users/kathleenhiggins/mturkstudy-3/src/llm_annotation_results/2-20/npl_prompt_comparison/adjudication_prompt_1_to_5/prompt_4_boundary_examples_precision_temp0p0_run1/final_annotations.json,17,False,False,False,False
OG adjudication,multi-model,GPT-5.1 + Gemini Pro + Claude Sonnet -> Claude Opus,P3 short spans,26,120,86,0.442,0.616,0.515,0.383,0.535,0.447,0.358,0.5,0.417,/Users/kathleenhiggins/mturkstudy-3/src/llm_annotation_results/2-20/npl_prompt_comparison/adjudication_prompt_1_to_5/prompt_3_precision_short_spans_temp0p0_run1/final_annotations.json,18,False,False,False,False
single small model,Gemini,Gemini 3.1 Flash Lite,P1 default,26,108,86,0.463,0.581,0.515,0.352,0.442,0.392,0.315,0.395,0.351,/Users/kathleenhiggins/mturkstudy-3/src/llm_annotation_results/2-20/npl_prompt_comparison/prompt_1_default_original_single_models/gemini_gemini_3_1_flash_lite/final_annotations.json,19,False,False,False,False
single strong model,Anthropic,Claude Sonnet 5,P2 Bagozzi,26,161,86,0.391,0.733,0.51,0.329,0.616,0.429,0.28,0.523,0.364,/Users/kathleenhiggins/mturkstudy-3/src/llm_annotation_results/2-20/npl_prompt_comparison/prompt_2_dr_bagozzi_strong_single_models/claude_claude_sonnet_5/final_annotations.json,20,False,False,False,False
single strong model,Anthropic,Claude Sonnet 5,P1 default,26,139,86,0.403,0.651,0.498,0.338,0.547,0.418,0.302,0.488,0.373,/Users/kathleenhiggins/mturkstudy-3/src/llm_annotation_results/2-20/npl_prompt_comparison/prompt_1_default_original_strong_single_models/claude_claude_sonnet_5/final_annotations.json,21,False,False,False,False
single strong model,Gemini,Gemini 3.1 Pro Preview,P1 default,26,96,86,0.448,0.5,0.473,0.427,0.477,0.451,0.396,0.442,0.418,/Users/kathleenhiggins/mturkstudy-3/src/llm_annotation_results/2-20/npl_prompt_comparison/prompt_1_default_original_strong_single_models/gemini_gemini_3_1_pro_preview/final_annotations.json,22,False,False,False,False
single strong model,Gemini,Gemini 3.1 Pro Preview,P4 boundary,26,101,86,0.426,0.5,0.46,0.396,0.465,0.428,0.376,0.442,0.406,/Users/kathleenhiggins/mturkstudy-3/src/llm_annotation_results/2-20/npl_prompt_comparison/prompt_4_boundary_examples_precision_strong_single_models/gemini_gemini_3_1_pro_preview/final_annotations.json,23,False,False,False,False
single small model,Gemini,Gemini 3.1 Flash Lite,P3 short spans,26,104,86,0.413,0.5,0.453,0.317,0.384,0.347,0.288,0.349,0.316,/Users/kathleenhiggins/mturkstudy-3/src/llm_annotation_results/2-20/npl_prompt_comparison/prompt_3_precision_short_spans_single_models/gemini_gemini_3_1_flash_lite/final_annotations.json,24,False,False,False,False
single strong model,OpenAI,GPT-5.1,P1 default,26,195,86,0.323,0.733,0.448,0.267,0.605,0.37,0.221,0.5,0.306,/Users/kathleenhiggins/mturkstudy-3/src/llm_annotation_results/2-20/npl_prompt_comparison/prompt_1_default_original_strong_single_models/openai_gpt_5_1/final_annotations.json,25,False,False,False,False
single strong model,Anthropic,Claude Sonnet 5,P4 boundary,26,117,86,0.376,0.512,0.433,0.342,0.465,0.394,0.316,0.43,0.365,/Users/kathleenhiggins/mturkstudy-3/src/llm_annotation_results/2-20/npl_prompt_comparison/prompt_4_boundary_examples_precision_strong_single_models/claude_claude_sonnet_5/final_annotations.json,26,False,False,False,False
single strong model,OpenAI,GPT-5.1,P2 Bagozzi,26,202,86,0.307,0.721,0.431,0.262,0.616,0.368,0.228,0.535,0.319,/Users/kathleenhiggins/mturkstudy-3/src/llm_annotation_results/2-20/npl_prompt_comparison/prompt_2_dr_bagozzi_strong_single_models/openai_gpt_5_1/final_annotations.json,27,False,False,False,False
single strong model,OpenAI,GPT-5.1,P4 boundary,26,188,86,0.314,0.686,0.431,0.261,0.57,0.358,0.229,0.5,0.314,/Users/kathleenhiggins/mturkstudy-3/src/llm_annotation_results/2-20/npl_prompt_comparison/prompt_4_boundary_examples_precision_strong_single_models/openai_gpt_5_1/final_annotations.json,28,False,False,False,False
single small model,Gemini,Gemini 3.1 Flash Lite,P4 boundary,26,103,86,0.388,0.465,0.423,0.311,0.372,0.339,0.282,0.337,0.307,/Users/kathleenhiggins/mturkstudy-3/src/llm_annotation_results/2-20/npl_prompt_comparison/prompt_4_boundary_examples_precision_single_models/gemini_gemini_3_1_flash_lite/final_annotations.json,29,False,False,False,False
single strong model,Gemini,Gemini 3.1 Pro Preview,P3 short spans,26,100,86,0.39,0.453,0.419,0.39,0.453,0.419,0.37,0.43,0.398,/Users/kathleenhiggins/mturkstudy-3/src/llm_annotation_results/2-20/npl_prompt_comparison/prompt_3_precision_short_spans_strong_single_models/gemini_gemini_3_1_pro_preview/final_annotations.json,30,False,False,False,False
single strong model,Anthropic,Claude Sonnet 5,P3 short spans,26,102,86,0.373,0.442,0.404,0.324,0.384,0.351,0.324,0.384,0.351,/Users/kathleenhiggins/mturkstudy-3/src/llm_annotation_results/2-20/npl_prompt_comparison/prompt_3_precision_short_spans_strong_single_models/claude_claude_sonnet_5/final_annotations.json,31,False,False,False,False
single strong model,OpenAI,GPT-5.1,P5 human aligned,26,186,86,0.296,0.64,0.404,0.242,0.523,0.331,0.237,0.512,0.324,/Users/kathleenhiggins/mturkstudy-3/src/llm_annotation_results/2-20/npl_prompt_comparison/prompt_5_human_aligned_precision_recall_strong_single_models/openai_gpt_5_1/final_annotations.json,32,False,False,False,False
single strong model,OpenAI,GPT-5.1,P3 short spans,26,174,86,0.247,0.5,0.331,0.207,0.419,0.277,0.184,0.372,0.246,/Users/kathleenhiggins/mturkstudy-3/src/llm_annotation_results/2-20/npl_prompt_comparison/prompt_3_precision_short_spans_strong_single_models/openai_gpt_5_1/final_annotations.json,33,False,False,False,False
single small model,Anthropic,Claude Haiku 4.5,P5 human aligned,26,89,86,0.315,0.326,0.32,0.292,0.302,0.297,0.281,0.291,0.286,/Users/kathleenhiggins/mturkstudy-3/src/llm_annotation_results/2-20/npl_prompt_comparison/prompt_5_human_aligned_precision_recall_single_models/claude_claude_haiku_4_5/final_annotations.json,34,False,False,False,False
single small model,Anthropic,Claude Haiku 4.5,P4 boundary,26,89,86,0.281,0.291,0.286,0.27,0.279,0.274,0.258,0.267,0.263,/Users/kathleenhiggins/mturkstudy-3/src/llm_annotation_results/2-20/npl_prompt_comparison/prompt_4_boundary_examples_precision_single_models/claude_claude_haiku_4_5/final_annotations.json,35,False,False,False,False
single small model,Anthropic,Claude Haiku 4.5,P3 short spans,26,89,86,0.281,0.291,0.286,0.247,0.256,0.251,0.236,0.244,0.24,/Users/kathleenhiggins/mturkstudy-3/src/llm_annotation_results/2-20/npl_prompt_comparison/prompt_3_precision_short_spans_single_models/claude_claude_haiku_4_5/final_annotations.json,36,False,False,False,False
single small model,Anthropic,Claude Haiku 4.5,P2 Bagozzi,26,89,86,0.225,0.233,0.229,0.213,0.221,0.217,0.202,0.209,0.206,/Users/kathleenhiggins/mturkstudy-3/src/llm_annotation_results/2-20/bagozzi_intersection_single_model_dr_bagozzi_prompt/claude_claude_haiku_4_5/final_annotations.json,37,False,False,False,False
single small model,Anthropic,Claude Haiku 4.5,P1 default,26,89,86,0.191,0.198,0.194,0.18,0.186,0.183,0.18,0.186,0.183,/Users/kathleenhiggins/mturkstudy-3/src/llm_annotation_results/2-20/npl_prompt_comparison/prompt_1_default_original_single_models/claude_claude_haiku_4_5/final_annotations.json,38,False,False,False,False
