article_title,paragraph_index,agreed_text,category,subcategory,bagozzi_text,inhouse_text,bagozzi_category,bagozzi_subcategory,inhouse_category,inhouse_subcategory,inhouse_vote_pattern
"Ocasio-Cortez, Sanders Call For Climate Change Emergency Mobilization, Seeks A Re-Do Of Failed Green New Deal",2,phony national emergencies,Inflammatory Language,Name-Calling,phony national emergencies,"President Trump has routinely declared phony national emergencies to advance his deeply unpopular agenda,""",Inflammatory Language,Name-Calling,inflammatory language,demonization,3-0
"'Pathetic Rout,' 'Tragic Mistake' And 'Painful' John Mccain Holds Little Back In Describing Helsinki",0,one of the most disgraceful performances by an american president in memory,Persuasive Propaganda,Exaggeration,one of the most disgraceful performances by an American president in memory,Today's press conference in Helsinki was one of the most disgraceful performances by an American president in memory,Persuasive Propaganda,Exaggeration,persuasive propaganda,exaggeration,3-0
"'Pathetic Rout,' 'Tragic Mistake' And 'Painful' John Mccain Holds Little Back In Describing Helsinki",0,"naiveté, egotism, false equivalence, and sympathy for autocrats",Inflammatory Language,Name-Calling,"naiveté, egotism, false equivalence, and sympathy for autocrats","President Trump's naiveté, egotism, false equivalence, and sympathy for autocrats is difficult to calculate.",Inflammatory Language,Name-Calling,inflammatory language,name-calling,2-0
"'Pathetic Rout,' 'Tragic Mistake' And 'Painful' John Mccain Holds Little Back In Describing Helsinki",0,tragic mistake,Persuasive Propaganda,Exaggeration,tragic mistake,"a ""tragic mistake"" in his meetings with Russian P",Persuasive Propaganda,Exaggeration,persuasive propaganda,exaggeration,3-0
"'Pathetic Rout,' 'Tragic Mistake' And 'Painful' John Mccain Holds Little Back In Describing Helsinki",1,low point in the history,Persuasive Propaganda,Exaggeration,marks a recent low point in the history of the American Presidency,low point in the history,Persuasive Propaganda,Exaggeration,persuasive propaganda,exaggeration,2-0
"'Pathetic Rout,' 'Tragic Mistake' And 'Painful' John Mccain Holds Little Back In Describing Helsinki",1,complicity in the slaughter of the syrian people,Inflammatory Language,Demonization,complicity in the slaughter of the Syrian people,"sovereignty of his neighbors, his complicity in the slaughter of the Syrian people,",Inflammatory Language,Demonization,inflammatory language,demonization,2-0
"'Pathetic Rout,' 'Tragic Mistake' And 'Painful' John Mccain Holds Little Back In Describing Helsinki",2,no prior president has ever abased himself more abjectly before a tyrant,Persuasive Propaganda,Exaggeration,No prior president has ever abased himself more abjectly before a tyrant,No prior president has ever abased himself more abjectly before a tyrant.,Persuasive Propaganda,Exaggeration,persuasive propaganda,exaggeration,2-0
Protest In Madrid As Conservatives Suspend Ban On Most Polluting Cars,0,we aspire to have a madrid without smoke,Persuasive Propaganda,Slogans,We aspire to have a Madrid without smoke,"""I want to breathe free"" and ""We aspire to have a Madrid without smoke""",Persuasive Propaganda,Slogans,persuasive propaganda,slogans,3-0
Protesters Want All Philadelphia Police Officers Connected To Alleged Racist Social Media Posts To Be Removed From Streets,0,racist police who posted on facebook,Inflammatory Language,Name-Calling,racist police who posted on Facebook,"gs on the racist police who posted on Facebook,""",Inflammatory Language,Name-Calling,inflammatory language,name-calling,3-0
"Ron Desantis Signs Amendment 4 Bill, Limiting Felon Voting",0,poll tax,Inflammatory Language,Name-Calling,poll tax,"ublican-controlled Legislature was called a ""poll tax"" by critics",Inflammatory Language,Name-Calling,inflammatory language,name-calling,2-1
"Ron Desantis Signs Amendment 4 Bill, Limiting Felon Voting",1,out one of the most racist and enduring policie,Persuasive Propaganda,Exaggeration,one of the most racist and enduring policies of Florida's Jim Crow era,out one of the most racist and enduring policie,Persuasive Propaganda,Exaggeration,inflammatory language,name-calling,2-1
"Senate Confirms Judge Who Attacked Roe V. Wade, Called Being Transgender 'A Delusion'",1,how anyone could expect kacsmaryk to be a fair and impartial judge,Persuasive Propaganda,Doubt,how anyone could expect Kacsmaryk to be a fair and impartial judge,What?) Senate Minority Leader Chuck Schumer (D-N.Y.) wondered aloud how anyone could expect Kacsmaryk to be a fair and impartial judge,Persuasive Propaganda,Doubt,persuasive propaganda,doubt,3-0
"Senate Confirms Judge Who Attacked Roe V. Wade, Called Being Transgender 'A Delusion'",1,"being transgender ""a delusion.""",Inflammatory Language,Name-Calling,"being transgender ""a delusion.""","He signed a 2016 letter that called being transgender ""a delusion.""",Inflammatory Language,Name-Calling,inflammatory language,demonization,3-0
"Senate Confirms Judge Who Attacked Roe V. Wade, Called Being Transgender 'A Delusion'",2,drape black robes over these bigoted views?,Inflammatory Language,Demonization,Why would my colleagues want to drape black robes over these bigoted views,drape black robes over these bigoted views?,Inflammatory Language,Demonization,inflammatory language,name-calling,2-1
"Senate Confirms Judge Who Attacked Roe V. Wade, Called Being Transgender 'A Delusion'",2,one of trump's most extreme nominees,Persuasive Propaganda,Exaggeration,one of Trump's most extreme nominees,He is one of Trump's most extreme nominees,Persuasive Propaganda,Exaggeration,persuasive propaganda,exaggeration,2-1
"Senate Confirms Judge Who Attacked Roe V. Wade, Called Being Transgender 'A Delusion'",2,"young, right-wing ideologues",Inflammatory Language,Name-Calling,"young, right-wing ideologues","sounds like a lot of President Donald Trump's other judicial nominees young, right-wing ideologues , the vast majority of whom are white men",Inflammatory Language,Name-Calling,persuasive propaganda,doubt,3-0
The Latest: Nadler Says Panel Will Move Quickly On Mcgahn,2,Nervous Nancy,Inflammatory Language,Name-Calling,Nervous Nancy,"d her ""Nervous Nancy"" after it was reported she privately told De",Inflammatory Language,Name-Calling,inflammatory language,name-calling,3-0
Trump Hits Polling On Fox News: 'Something Weird Going On At Fox',0,crooked hillary,Inflammatory Language,Name-Calling,crooked hillary,They were against Crooked Hillary also,Inflammatory Language,Name-Calling,inflammatory language,name-calling,3-0
Trump Hits Polling On Fox News: 'Something Weird Going On At Fox',0,more fake news,Inflammatory Language,Name-Calling,More Fake News,"For the record, I didn't spend 30 hours with @abcnews , but rather a tiny fraction of that. More Fake News @BretBaier",Inflammatory Language,Name-Calling,persuasive propaganda,doubt,3-0
Trump Hits Polling On Fox News: 'Something Weird Going On At Fox',1,make america great again!,Persuasive Propaganda,Slogans,MAKE AMERICA GREAT AGAIN!,". ""Much work to do! MAKE AMERICA GREAT AGAIN!""",Persuasive Propaganda,Slogans,persuasive propaganda,slogans,3-0
Trump Hits Polling On Fox News: 'Something Weird Going On At Fox',1,only fake polls,Inflammatory Language,Name-Calling,only fake polls,"The president tweeted earlier Monday that ""only fake polls"" showed him behind 2020 Democrats, referring to them as a ""Motley Crew.""",Inflammatory Language,Name-Calling,persuasive propaganda,doubt,3-0
Trump Hits Polling On Fox News: 'Something Weird Going On At Fox',1,Motley Crew,Inflammatory Language,Name-Calling,Motley Crew,"referring to them as a ""Motley Crew.""",Inflammatory Language,Name-Calling,inflammatory language,name-calling,3-0
"Trump Rips 'Horrible' New York Times, Washington Post, Wonders If People Will 'Demand' He Stay In White House",0,e amazon (lobbyist) washington,Inflammatory Language,Name-Calling,the Amazon (lobbyist) Washington Post,e Amazon (lobbyist) Washington,Inflammatory Language,Name-Calling,inflammatory language,name-calling,3-0
"Trump Rips 'Horrible' New York Times, Washington Post, Wonders If People Will 'Demand' He Stay In White House",0,america has been made great again,Persuasive Propaganda,Slogans,america has been made great again,"news is that at the end of 6 years, after America has been made GREAT again and I leave the beautiful White House",Persuasive Propaganda,Slogans,persuasive propaganda,slogans,3-0
"Trump Rips 'Horrible' New York Times, Washington Post, Wonders If People Will 'Demand' He Stay In White House",0,both of these horrible papers,Inflammatory Language,Name-Calling,both of these horrible papers,"both of these horrible papers will quickly go out of business & be forever gone,",Inflammatory Language,Name-Calling,persuasive propaganda,exaggeration,3-0
"Trump Rips 'Horrible' New York Times, Washington Post, Wonders If People Will 'Demand' He Stay In White House",0,a disgrace to our country,Inflammatory Language,Name-Calling,a disgrace to our Country,"They are both a disgrace to our Country, the Enemy of the People, but I just can't seem to figure out which is worse?",Inflammatory Language,Name-Calling,inflammatory language,demonization,3-0
"Trump Rips 'Horrible' New York Times, Washington Post, Wonders If People Will 'Demand' He Stay In White House",1,the failing new york times,Inflammatory Language,Name-Calling,the Failing New York Times,the Failing New York Times,Inflammatory Language,Name-Calling,inflammatory language,name-calling,2-1
"Trump Rips 'Horrible' New York Times, Washington Post, Wonders If People Will 'Demand' He Stay In White House",1,virtual act of treason,Inflammatory Language,Demonization,virtual act of treason,"committed a ""virtual act of treason"" by",Inflammatory Language,Demonization,inflammatory language,demonization,2-1
"Trump Rips 'Horrible' New York Times, Washington Post, Wonders If People Will 'Demand' He Stay In White House",2,suppression polls (they suppress the numbers),Persuasive Propaganda,Doubt,Suppression Polls (they suppress the numbers),"There new weapon of choice is Fake Polling, sometimes referred to as Suppression Polls (they suppress the numbers)",Persuasive Propaganda,Doubt,persuasive propaganda,doubt,3-0
"Trump Rips 'Horrible' New York Times, Washington Post, Wonders If People Will 'Demand' He Stay In White House",2,fake news,Inflammatory Language,Name-Calling,fake news,The Fake News has never been more dishonest than it is today,Inflammatory Language,Name-Calling,inflammatory language,name-calling,3-0
Trump Vows To Cure Cancer And Eradicate Aids,1,"why the hell didn't you do that over the last 50 years, joe?",Persuasive Propaganda,Doubt,"why the hell didn't you do that over the last 50 years, Joe?","""Wow, why the hell didn't you do that over the last 50 years, Joe?"" Trump Jr. tweeted.",Persuasive Propaganda,Doubt,persuasive propaganda,doubt,3-0
Tutankhamun Sculpture'S London Auction Sparks Egyptian Outcry,1,the owners have given false information,Persuasive Propaganda,Doubt,The owners have given false information,"""The owners have given false information,"" he said in a telephone interview. ""They have not shown any legal papers to prove its ownership.""",Persuasive Propaganda,Doubt,persuasive propaganda,doubt,3-0
'We Are Livid!': Mural Honoring Philadelphia Police Officer Killed In Line Of Duty Vandalized,0,hero and fallen-officer,Inflammatory Language,Name-Calling,hero and fallen-officer,"f hero and fallen-officer,",Inflammatory Language,Name-Calling,inflammatory language,name-calling,3-0
'We Are Livid!': Mural Honoring Philadelphia Police Officer Killed In Line Of Duty Vandalized,0,some low-life,Inflammatory Language,Name-Calling,some low-life,"It's sickening and disgusting that some low-life would deface the mural of hero and fallen-officer, Robert Wilson III,",Inflammatory Language,Name-Calling,inflammatory language,name-calling,3-0
'We Are Livid!': Mural Honoring Philadelphia Police Officer Killed In Line Of Duty Vandalized,1,orance and disrespect shown toward police is at an al,Persuasive Propaganda,Exaggeration,ignorance and disrespect shown toward police is at an all time high,orance and disrespect shown toward police is at an al,Persuasive Propaganda,Exaggeration,persuasive propaganda,exaggeration,2-1
'We Are Livid!': Mural Honoring Philadelphia Police Officer Killed In Line Of Duty Vandalized,1,da of this city set this tone of disrespect for the city,Persuasive Propaganda,Casual Oversimplification,DA of this city set this tone of disrespect for the city,"If the DA, top persecutor of this city, can tarnish the efforts and life of a slain officer while backing criminals then,",Persuasive Propaganda,Casual Oversimplification,inflammatory language,demonization,3-0
'We Are Livid!': Mural Honoring Philadelphia Police Officer Killed In Line Of Duty Vandalized,2,as minuscule as a slap on the wrist,Persuasive Propaganda,Exaggeration,as minuscule as a slap on the wrist,as the consequences of such are as minuscule as a slap on the wrist.,Persuasive Propaganda,Exaggeration,persuasive propaganda,casual oversimplification,3-0
