vote_pattern,article_title,paragraph_index,subcategory,representative_text,overlap_type
2-1,BuzzFeed Journalists Protest in Push for Union Recognition,0,slogans,"Recognize the BuzzFeed Union!!""",exact
2-1,BuzzFeed Journalists Protest in Push for Union Recognition,1,exaggeration,"unfair pay disparities, mismanaged pivots and layoffs, weak benefits, skyrocketing health insurance costs, diversity, and more",partial
2-1,DC mayor says Trump's Fourth of July celebration emptied security fund,2,name-calling,More: Far-right extremists Proud Boys ou,none
2-1,Did Jared Kushner Violate the Hatch Act? Democrats Request Investigation After Kellyanne Conway Findings,1,demonization,benefited from special treatment; as with his many deceptions regarding his security clearance this is something no rank-and-file federal employee would get away with,partial
2-1,Did Jared Kushner Violate the Hatch Act? Democrats Request Investigation After Kellyanne Conway Findings,1,doubt,"Kushner's ""poor track record of compliance with the spirit of the Hatch Act,",none
2-1,Did Jared Kushner Violate the Hatch Act? Democrats Request Investigation After Kellyanne Conway Findings,2,demonization,mp 'ÄãDonald Trump's Refusal to Fire Kellyanne Conway is 'Dangerous' and She Should Resign:,none
2-1,"Donald Trump Jr. mocks Roy Moore after campaign announcement, reigniting feud",0,bandwagon,"""Yes, I can win. Not only can I, they know I can.",none
2-1,"Donald Trump Jr. mocks Roy Moore after campaign announcement, reigniting feud",1,demonization,"If you actually care about #MAGA more than your own ego, it's time to ride off into the sunset, Judge.",none
2-1,"Donald Trump Jr. mocks Roy Moore after campaign announcement, reigniting feud",1,exaggeration,he's doing a disservice to all conservatives,none
2-1,"Donald Trump Jr. mocks Roy Moore after campaign announcement, reigniting feud",1,scapegoating,he's doing a disservice to all conservatives across the country in the process,none
2-1,"Donald Trump Jr. mocks Roy Moore after campaign announcement, reigniting feud",1,slogans,his is pure fake news,partial
2-1,Killer of 16-year-old New York girl in 1980 released on parole despite outrage,1,slogans,"A non-profit organization ""Petition for Paula"" filed a lawsuit",none
2-1,Killer of 16-year-old New York girl in 1980 released on parole despite outrage,2,bandwagon,HUNDREDS PROTEST PLAN TO RELEASE 16-YEAR-OLD GIRL'S CONVICTED KILLER Former New York Gov.,none
2-1,Killer of 16-year-old New York girl in 1980 released on parole despite outrage,2,exaggeration,"hey would have to see that this man should not be out in the streets,"" Pataki said.",none
2-1,Killer of 16-year-old New York girl in 1980 released on parole despite outrage,3,doubt,"y for it, so how can he be sorry?",none
2-1,"Ocasio-Cortez, Sanders call for climate change emergency mobilization, seeks a re-do of failed Green New Deal",0,casual oversimplification,address the so-called emergency.,partial
2-1,"Ocasio-Cortez, Sanders call for climate change emergency mobilization, seeks a re-do of failed Green New Deal",1,name-calling,"""a radical, top-down, socialist makeover of the entire U.S. economy.""",exact
2-1,"Ocasio-Cortez, Sanders call for climate change emergency mobilization, seeks a re-do of failed Green New Deal",2,name-calling,ely declared phony national emergencies to advance his deep,partial
2-1,Protesters Want All Philadelphia Police Officers Connected To Alleged Racist Social Media Posts To Be Removed From Streets,1,exaggeration,ey won't be satisfied until all officers involved in this scandal are removed from the streets.,none
2-1,Protesters Want All Philadelphia Police Officers Connected To Alleged Racist Social Media Posts To Be Removed From Streets,2,exaggeration,"ore officers that are taken off the streets, the more vulnerable the city becomes to",none
2-1,"RMV Fail: 546 license suspensions, more to come",0,exaggeration,"In a stunning press conference detailing the scope of the crisis Monday,",none
2-1,"RMV Fail: 546 license suspensions, more to come",2,doubt,"e unknown reason, when people stopped dealing with the notifications altogether.",none
2-1,"RMV Fail: 546 license suspensions, more to come",2,exaggeration,"e RMV has ""worked around the clock"" to address the backlog",none
2-1,Trump hits polling on Fox News: 'Something weird going on at Fox',0,doubt,"""something weird"" is happening at the network favored by conservatives",none
2-1,Trump hits polling on Fox News: 'Something weird going on at Fox',0,exaggeration,"saying ""something weird"" is happening at the network favored by conservatives",none
2-1,Trump hits polling on Fox News: 'Something weird going on at Fox',0,slogans,hat. More Fake News,partial
2-1,donald trump's criminal justice reform shows results,0,casual oversimplification,will become a productive member of society.,none
2-1,donald trump's criminal justice reform shows results,0,exaggeration,ehind bars does nothing to rehabilitate.,none
2-1,donald trump's criminal justice reform shows results,1,exaggeration,"me."" He didn't know how to be free. He died in priso",none
2-1,donald trump's criminal justice reform shows results,3,exaggeration,That's a lot of medical expenses.,none
2-1,donald trump's criminal justice reform shows results,3,name-calling,en about the extreme and morally damaging sentencing practices of the modern era.,none
2-1,"editorial: six months after california's landmark police transparency law, many agencies still won't release their records",0,casual oversimplification,"But the public has the right to know about these very serious events, which is why it was so important to pass SB1421.",none
2-1,"editorial: six months after california's landmark police transparency law, many agencies still won't release their records",0,demonization,But the biggest thing we've learned is that many police departments believe that compliance with the law is optiona,partial
2-1,"editorial: six months after california's landmark police transparency law, many agencies still won't release their records",1,doubt,"""Law enforcement in San Francisco is deliberately sandbagging the release of these records,""",partial
2-1,"editorial: six months after california's landmark police transparency law, many agencies still won't release their records",2,doubt,groups have had a powerful champion in their attempts to deny the public thi,none
2-1,"editorial: six months after california's landmark police transparency law, many agencies still won't release their records",3,slogans,No one least of all the agencies that have sworn to protect and serve the public should be allowed to thwart the law.,none
2-1,george conway urges trump to resign over aborted iran strike,0,doubt,"Do the country and the world a favor. Go back to real estate, where the worst you can do is kill banks.",none
2-1,george conway urges trump to resign over aborted iran strike,0,exaggeration,ould therefore be grossly disproportionate t,none
2-1,george conway urges trump to resign over aborted iran strike,1,name-calling,To say this is amateur hour would defame amateurs,exact
2-1,george conway urges trump to resign over aborted iran strike,3,bandwagon,"whose judgment no serious, intelligent person trusts",exact
2-1,george conway urges trump to resign over aborted iran strike,3,exaggeration,slamming the commander in chief,none
2-1,meghan markle has been branded 'difficult' by tabloids. it's the same sexism that demonizes driven women in the workplace.,0,bandwagon,People love tearing down powerful women,none
2-1,meghan markle has been branded 'difficult' by tabloids. it's the same sexism that demonizes driven women in the workplace.,0,demonization,"sexism that often demonizes driven women as ""abrasive"" or ""bossy",none
2-1,meghan markle has been branded 'difficult' by tabloids. it's the same sexism that demonizes driven women in the workplace.,0,demonization,y dismissing them as difficult divas,none
2-1,"ron desantis signs amendment 4 bill, limiting felon voting",0,name-calling,"ublican-controlled Legislature was called a ""poll tax"" by critics",partial
2-1,"ron desantis signs amendment 4 bill, limiting felon voting",1,name-calling,out one of the most racist and enduring policie,partial
2-1,"senate confirms judge who attacked roe v. wade, called being transgender 'a delusion'",0,exaggeration,"omen Act ""a grave mistake.",none
2-1,"senate confirms judge who attacked roe v. wade, called being transgender 'a delusion'",2,demonization,selection process and funneling anti-abortion and anti-LGBTQ,none
2-1,"senate confirms judge who attacked roe v. wade, called being transgender 'a delusion'",2,exaggeration,He is one of Trump's most extreme nominees,partial
2-1,"senate confirms judge who attacked roe v. wade, called being transgender 'a delusion'",2,name-calling,drape black robes over these bigoted views?,partial
2-1,the latest: nadler says panel will move quickly on mcgahn,1,doubt,ed answers on the questions left unanswered,none
2-1,"trump rips 'horrible' new york times, washington post, wonders if people will 'demand' he stay in white house",1,demonization,"committed a ""virtual act of treason"" by",partial
2-1,"trump rips 'horrible' new york times, washington post, wonders if people will 'demand' he stay in white house",1,name-calling,the Failing New York Times,exact
2-1,trump vows to cure cancer and eradicate aids,0,exaggeration,"s to many, many problems, to many, many diseases in",none
2-1,trump vows to cure cancer and eradicate aids,1,casual oversimplification,r sought to divert money away from HIV/AIDS research t,none
2-1,trump vows to cure cancer and eradicate aids,2,casual oversimplification,"e will eradicate AIDS in America once and for all and we are really close,",none
1-2,'Every American is entitled to health care': Sen. Bernie Sanders,1,exaggeration,"make billions of dollars in profits off Americans' health care.""",partial
1-2,'Every American is entitled to health care': Sen. Bernie Sanders,2,bandwagon,verybody said our ideas are crazy,partial
1-2,'Every American is entitled to health care': Sen. Bernie Sanders,2,casual oversimplification,e got to talk to the needs of the working class of this count,none
1-2,'Every American is entitled to health care': Sen. Bernie Sanders,2,exaggeration,are crazy and wild and extreme a,partial
1-2,'WE ARE LIVID!': Mural Honoring Philadelphia Police Officer Killed In Line Of Duty Vandalized,0,exaggeration,"f hero and fallen-officer,",partial
1-2,'WE ARE LIVID!': Mural Honoring Philadelphia Police Officer Killed In Line Of Duty Vandalized,2,demonization,the shaming and defacement of Sgt. Wilson's mural.,none
1-2,'WE ARE LIVID!': Mural Honoring Philadelphia Police Officer Killed In Line Of Duty Vandalized,2,exaggeration,h are as minuscule as a slap on the wrist.,partial
1-2,"'if you're directly complicit in spreading hate, consider dining at home': restaurant owner who kicked sarah sanders out last year defends chicago server who spat on eric trump in a cocktail bar",1,casual oversimplification,"You can't call people your enemies by day and expect hospitality from them in the evening,' she added.",none
1-2,"'if you're directly complicit in spreading hate, consider dining at home': restaurant owner who kicked sarah sanders out last year defends chicago server who spat on eric trump in a cocktail bar",2,slogans,to 'its normal axis',none
1-2,Biden criticizes Amazon for paying $0 in corporate taxes,0,demonization,presidential candidate to slam one of the most profitable companies,none
1-2,Biden criticizes Amazon for paying $0 in corporate taxes,1,casual oversimplification,". ""But they should pay a few taxes, you know what I mean?",none
1-2,Biden criticizes Amazon for paying $0 in corporate taxes,1,name-calling,slamming the company at a campaign stop,none
1-2,Biden criticizes Amazon for paying $0 in corporate taxes,2,name-calling,"who has insulted CEO Jeff Bezos, who also owns The Washington Post.",none
1-2,Biden criticizes Amazon for paying $0 in corporate taxes,3,name-calling,"accused Amazon of colluding with Democrats to ""discriminate"" against him.",none
1-2,Biden criticizes Amazon for paying $0 in corporate taxes,3,name-calling,has accused the Post of being biased against him,none
1-2,BuzzFeed Journalists Protest in Push for Union Recognition,0,doubt,a question that unions and companies frequently spar over.,none
1-2,BuzzFeed Journalists Protest in Push for Union Recognition,1,doubt,"xclude workers they claim are managerial, supervisory or confidential despite",none
1-2,BuzzFeed Journalists Protest in Push for Union Recognition,2,casual oversimplification,"While that hasn't prevented layoffs, it has in some cases cushioned the blow.",none
1-2,BuzzFeed Journalists Protest in Push for Union Recognition,2,name-calling,once the darlings of the media industry,none
1-2,DC mayor says Trump's Fourth of July celebration emptied security fund,0,demonization,events and defend against terrorist threats,none
1-2,DC mayor says Trump's Fourth of July celebration emptied security fund,0,exaggeration,"declining reserves, increased demand for heightened security, and a one-time draw down o",none
1-2,DC mayor says Trump's Fourth of July celebration emptied security fund,0,exaggeration,ests has emptied out a municipal fund us,none
1-2,DC mayor says Trump's Fourth of July celebration emptied security fund,1,doubt,'Are you proud to be an American?' Why Trump's 4th of July was a tale of three different celebrations,none
1-2,DC mayor says Trump's Fourth of July celebration emptied security fund,1,slogans,Nothing America cannot do':,none
1-2,DC mayor says Trump's Fourth of July celebration emptied security fund,2,exaggeration,DC mayor says Trump's Fourth of July celebration emptied,none
1-2,DC mayor says Trump's Fourth of July celebration emptied security fund,2,exaggeration,y Some protests grew more heated.,none
1-2,Did Jared Kushner Violate the Hatch Act? Democrats Request Investigation After Kellyanne Conway Findings,0,doubt,Democratic congressman on Monday to demand an investigation into whether the president's son-in-law Jared Kushner similarly broke federal law.,none
1-2,Did Jared Kushner Violate the Hatch Act? Democrats Request Investigation After Kellyanne Conway Findings,1,doubt,We have strong reason to believe that Jared Kushner is in violation of both the spirit and the letter,none
1-2,Did Jared Kushner Violate the Hatch Act? Democrats Request Investigation After Kellyanne Conway Findings,1,name-calling,Jared Kushner has repeatedly benefited from special treatment,none
1-2,"Donald Trump Jr. mocks Roy Moore after campaign announcement, reigniting feud",0,doubt,This can't be real... can it?,none
1-2,"Donald Trump Jr. mocks Roy Moore after campaign announcement, reigniting feud",0,slogans,"""Can I win?"" Moore said at his announcement on Thursday . ""Yes, I can win. Not only can I, they know I can.",none
1-2,"Donald Trump Jr. mocks Roy Moore after campaign announcement, reigniting feud",2,name-calling,ether Moore can escape his baggage without his candidacy collapsing under its own weight,none
1-2,Gabbard was most searched Democratic candidate after debate despite getting third-lowest speaking time,0,exaggeration,ran one of the night's biggest winners.,none
1-2,Gabbard was most searched Democratic candidate after debate despite getting third-lowest speaking time,1,casual oversimplification,"weren't in there, they started flying planes into our buildings,""",partial
1-2,Gabbard was most searched Democratic candidate after debate despite getting third-lowest speaking time,1,exaggeration,"as the most ""composed and authentic.""",none
1-2,Gabbard was most searched Democratic candidate after debate despite getting third-lowest speaking time,1,name-calling,calling her out on her relationship with Assad,none
1-2,Gabbard was most searched Democratic candidate after debate despite getting third-lowest speaking time,2,name-calling,slamming MSNBC for favoring Warren.,none
1-2,Killer of 16-year-old New York girl in 1980 released on parole despite outrage,0,demonization,victed of brutally murdering a 16-year-old girl in 1,partial
1-2,Killer of 16-year-old New York girl in 1980 released on parole despite outrage,1,doubt,at LaBarbera be given another parole hearing in front of all 12 members,none
1-2,Killer of 16-year-old New York girl in 1980 released on parole despite outrage,1,exaggeration,were given the toughest sentence available at the time and h,none
1-2,Killer of 16-year-old New York girl in 1980 released on parole despite outrage,2,demonization,6-YEAR-OLD GIRL'S CONVICTED KILLER Fo,none
1-2,Killer of 16-year-old New York girl in 1980 released on parole despite outrage,3,demonization,ist and murderer is so hideous to,none
1-2,Killer of 16-year-old New York girl in 1980 released on parole despite outrage,3,doubt,. I don't think he's sorry.,none
1-2,"Ocasio-Cortez, Sanders call for climate change emergency mobilization, seeks a re-do of failed Green New Deal",0,exaggeration,"solution declaring a climate change emergency, a move that comes after the Green New Deal failed",none
1-2,"Ocasio-Cortez, Sanders call for climate change emergency mobilization, seeks a re-do of failed Green New Deal",0,exaggeration,"the United States at a massive-scale.""",none
1-2,"Ocasio-Cortez, Sanders call for climate change emergency mobilization, seeks a re-do of failed Green New Deal",1,name-calling,"ent."" OCASIO-CORTEZ ASSAILS BIDEN'S 'MIDDLE GROUND' CLIMATE CHANGE PLAN, SAYS IT'S 'DEALBREAKER' Both",none
1-2,"Ocasio-Cortez, Sanders call for climate change emergency mobilization, seeks a re-do of failed Green New Deal",2,name-calling,"On the existential threat of climate change, Trump",none
1-2,Protest in Madrid as conservatives suspend ban on most polluting cars,0,slogans,"""Yes we can, I do want Madrid central",exact
1-2,Protest in Madrid as conservatives suspend ban on most polluting cars,1,bandwagon,People of all ages rallied despite a scorching heatwave in Spain and most of Europe,partial
1-2,Protesters Want All Philadelphia Police Officers Connected To Alleged Racist Social Media Posts To Be Removed From Streets,0,casual oversimplification,the scandal connected to a number of police officers.,none
1-2,Protesters Want All Philadelphia Police Officers Connected To Alleged Racist Social Media Posts To Be Removed From Streets,1,bandwagon,e group wants city council to intervene on the heels of Philadelphia,none
1-2,Protesters Want All Philadelphia Police Officers Connected To Alleged Racist Social Media Posts To Be Removed From Streets,1,casual oversimplification,involved in this scandal are removed,none
1-2,Protesters Want All Philadelphia Police Officers Connected To Alleged Racist Social Media Posts To Be Removed From Streets,1,scapegoating,ake certain that the police that do not want to police our community are removed,none
1-2,Protesters Want All Philadelphia Police Officers Connected To Alleged Racist Social Media Posts To Be Removed From Streets,2,doubt,"ws. We think the investigation is far too broad.""",none
1-2,"RMV Fail: 546 license suspensions, more to come",0,casual oversimplification,546 drivers have now been suspended based on previously overlooked out-of-state notices.,none
1-2,"RMV Fail: 546 license suspensions, more to come",1,exaggeration,"t after major failings at the RMV and MBTA, Bak",none
1-2,"RMV Fail: 546 license suspensions, more to come",3,demonization,r letting dangerous drivers stay on the road Sorry Cha,none
1-2,"RMV Fail: 546 license suspensions, more to come",3,doubt,xiously awaiting to see exactly where there may have been a failure in the system,none
1-2,Trump hits polling on Fox News: 'Something weird going on at Fox',0,doubt,"For the record, I didn't spend 30 hours with @abcnews , but rather a tiny fraction of that. More Fake News @BretBaier",partial
1-2,Trump hits polling on Fox News: 'Something weird going on at Fox',0,name-calling,More Fake News @BretBaier - Donald J. Trump,partial
1-2,Trump hits polling on Fox News: 'Something weird going on at Fox',1,name-calling,"""only fake polls"" showed him behind 2020",partial
1-2,Trump hits polling on Fox News: 'Something weird going on at Fox',2,scapegoating,ut he has increasingly criticized it over its campaign covera,none
1-2,donald trump's criminal justice reform shows results,0,bandwagon,Most people are not aware of the First Step Act,none
1-2,donald trump's criminal justice reform shows results,1,exaggeration,"He had no friends or family. No money, no transportation",none
1-2,donald trump's criminal justice reform shows results,2,casual oversimplification,Sentences for many felonies are spelled out in minimum mandatory guidelines from which judges cannot ignore.,none
1-2,donald trump's criminal justice reform shows results,2,exaggeration,esults in many years behind bars accomplishing nothing,none
1-2,donald trump's criminal justice reform shows results,2,exaggeration,spent two decades incarcerated for selling crack coca,none
1-2,donald trump's criminal justice reform shows results,3,casual oversimplification,"That does not take into account the population of aging inmates, where costs run much higher.",none
1-2,"editorial: six months after california's landmark police transparency law, many agencies still won't release their records",0,casual oversimplification,we've learned is that many police departments believe that compliance with the law is optional,partial
1-2,"editorial: six months after california's landmark police transparency law, many agencies still won't release their records",0,exaggeration,police departments are resisting compliance,none
1-2,"editorial: six months after california's landmark police transparency law, many agencies still won't release their records",1,name-calling,Law enforcement in San Francisco is deliberately sandbagging the release of these records,partial
1-2,"editorial: six months after california's landmark police transparency law, many agencies still won't release their records",1,slogans,This is lawless conduct,exact
1-2,george conway urges trump to resign over aborted iran strike,0,name-calling,o say this is amateur hour would defame amateurs.,partial
1-2,george conway urges trump to resign over aborted iran strike,0,slogans,Do the country and the world a favor,none
1-2,george conway urges trump to resign over aborted iran strike,1,doubt,To say this is amateur hour would defame amateurs,exact
1-2,george conway urges trump to resign over aborted iran strike,1,exaggeration,cocked & loaded to retaliate last night on 3 different sights,none
1-2,meghan markle has been branded 'difficult' by tabloids. it's the same sexism that demonizes driven women in the workplace.,0,casual oversimplification,People love tearing down powerful women,none
1-2,"ron desantis signs amendment 4 bill, limiting felon voting",0,exaggeration,nfranchise hundreds of thousands of felons,none
1-2,"ron desantis signs amendment 4 bill, limiting felon voting",0,exaggeration,undercutting much of the promise of last year's historic Am,none
1-2,"senate confirms judge who attacked roe v. wade, called being transgender 'a delusion'",0,casual oversimplification,"Kacsmaryk called the law "" a bad idea """,none
1-2,"senate confirms judge who attacked roe v. wade, called being transgender 'a delusion'",0,name-calling,his record of hostility toward LGBTQ,none
1-2,"senate confirms judge who attacked roe v. wade, called being transgender 'a delusion'",1,name-calling,"alled being transgender ""a delusion.""",partial
1-2,"senate confirms judge who attacked roe v. wade, called being transgender 'a delusion'",2,name-calling,"a right-wing Christian advocacy group, sounds like",none
1-2,"senate confirms judge who attacked roe v. wade, called being transgender 'a delusion'",3,exaggeration,That's more circuit judges than any president has gotten through by this point in a first term.,none
1-2,the latest: nadler says panel will move quickly on mcgahn,0,demonization,ainst witnesses who defy subpoenas,none
1-2,"trump rips 'horrible' new york times, washington post, wonders if people will 'demand' he stay in white house",0,name-calling,more dishonest and deceitful.,exact
1-2,"trump rips 'horrible' new york times, washington post, wonders if people will 'demand' he stay in white house",2,name-calling,lashed out at the media,none
1-2,"trump rips 'horrible' new york times, washington post, wonders if people will 'demand' he stay in white house",2,slogans,The Fake News has never been more dishonest than it is today,partial
1-2,trump vows to cure cancer and eradicate aids,0,demonization,attacking familiar foes and restating his position on issues like immigration,none
1-2,trump vows to cure cancer and eradicate aids,0,exaggeration,"""come up with the cures"" to devastating diseases",none
1-2,trump vows to cure cancer and eradicate aids,0,exaggeration,made sweeping promises to tackle two o,none
1-2,trump vows to cure cancer and eradicate aids,1,casual oversimplification,"oing to see the single most important thing that changes America we're going to cure cancer.""",none
1-2,trump vows to cure cancer and eradicate aids,2,exaggeration,e will eradicate AIDS in America once and for all,none
1-2,tutankhamun sculpture's london auction sparks egyptian outcry,0,exaggeration,hiselled head -- its serene eyes and puffed lips,none
1-2,tutankhamun sculpture's london auction sparks egyptian outcry,0,exaggeration,y's unparalleled collection of antiquities wan,none
