cluster_id,article_title,paragraph_index,representative_span,source_count,candidate_count,accept_score,threshold,accepted,final_category,final_subcategory,sources
protesters want all philadelphia police officers__p2__c1,Protesters Want All Philadelphia Police Officers Connected To Alleged Racist Social Media Posts To Be Removed From Streets,2,crime wave they say it's already experiencing,2,2,0.564103,0.5,True,Persuasive Propaganda,exaggeration,adjudicated_prompt2|gpt5mini_prompt5
the latest nadler says panel will move quickly o__p2__c1,the latest: nadler says panel will move quickly on mcgahn,2,Nervous Nancy,3,3,0.820513,0.5,True,Inflammatory Language,name-calling,adjudicated_prompt2|gemini_flash_prompt5|gpt5mini_prompt5
we are livid mural honoring philadelphia police __p0__c1,'WE ARE LIVID!': Mural Honoring Philadelphia Police Officer Killed In Line Of Duty Vandalized,0,some low-life,4,4,1.0,0.5,True,Inflammatory Language,name-calling,adjudicated_prompt2|claude_haiku_prompt5|gemini_flash_prompt5|gpt5mini_prompt5
we are livid mural honoring philadelphia police __p1__c1,'WE ARE LIVID!': Mural Honoring Philadelphia Police Officer Killed In Line Of Duty Vandalized,1,at an all time high,2,2,0.564103,0.5,True,Persuasive Propaganda,exaggeration,adjudicated_prompt2|gpt5mini_prompt5
we are livid mural honoring philadelphia police __p1__c2,'WE ARE LIVID!': Mural Honoring Philadelphia Police Officer Killed In Line Of Duty Vandalized,1,top persecutor of this city,3,4,0.820513,0.5,True,Inflammatory Language,name-calling,adjudicated_prompt2|gemini_flash_prompt5|gpt5mini_prompt5
we are livid mural honoring philadelphia police __p2__c1,'WE ARE LIVID!': Mural Honoring Philadelphia Police Officer Killed In Line Of Duty Vandalized,2,ignorance and disrespect shown toward our officers,1,1,0.282051,0.5,False,Inflammatory Language,name-calling,gpt5mini_prompt5
george conway urges trump to resign over aborted__p0__c1,george conway urges trump to resign over aborted iran strike,0,"Go back to real estate, where the worst you can do is kill banks",1,1,0.282051,0.5,False,Inflammatory Language,name-calling,gpt5mini_prompt5
george conway urges trump to resign over aborted__p0__c2,george conway urges trump to resign over aborted iran strike,0,you're even more of an idiot than people think you are,4,4,1.0,0.5,True,Inflammatory Language,name-calling,adjudicated_prompt2|claude_haiku_prompt5|gemini_flash_prompt5|gpt5mini_prompt5
george conway urges trump to resign over aborted__p0__c3,george conway urges trump to resign over aborted iran strike,0,To say this is amateur hour would defame amateurs,3,3,0.820513,0.5,True,Inflammatory Language,name-calling,adjudicated_prompt2|gemini_flash_prompt5|gpt5mini_prompt5
george conway urges trump to resign over aborted__p3__c1,george conway urges trump to resign over aborted iran strike,3,"erratic, unstable, incompetent, ignorant, intellectually lazy, narcissistic, and sociopathic man",3,3,0.820513,0.5,True,Inflammatory Language,name-calling,adjudicated_prompt2|gemini_flash_prompt5|gpt5mini_prompt5
george conway urges trump to resign over aborted__p3__c2,george conway urges trump to resign over aborted iran strike,3,"whose judgment no serious, intelligent person trusts",3,3,0.820513,0.5,True,Persuasive Propaganda,doubt,adjudicated_prompt2|gemini_flash_prompt5|gpt5mini_prompt5
did jared kushner violate the hatch act democrat__p1__c1,Did Jared Kushner Violate the Hatch Act? Democrats Request Investigation After Kellyanne Conway Findings,1,his many deceptions regarding his security clearance,4,4,1.0,0.5,True,Persuasive Propaganda,doubt,adjudicated_prompt2|claude_haiku_prompt5|gemini_flash_prompt5|gpt5mini_prompt5
did jared kushner violate the hatch act democrat__p2__c1,Did Jared Kushner Violate the Hatch Act? Democrats Request Investigation After Kellyanne Conway Findings,2,National security is more important than party,1,1,0.282051,0.5,False,Persuasive Propaganda,slogans,gpt5mini_prompt5
did jared kushner violate the hatch act democrat__p2__c2,Did Jared Kushner Violate the Hatch Act? Democrats Request Investigation After Kellyanne Conway Findings,2,Jared Kushner lied on his SF-86 form,1,1,0.282051,0.5,False,Persuasive Propaganda,doubt,gpt5mini_prompt5
ron desantis signs amendment 4 bill limiting fel__p0__c1,"ron desantis signs amendment 4 bill, limiting felon voting",0,poll tax,2,2,0.564103,0.5,True,Inflammatory Language,name-calling,adjudicated_prompt2|gpt5mini_prompt5
ron desantis signs amendment 4 bill limiting fel__p1__c1,"ron desantis signs amendment 4 bill, limiting felon voting",1,one of the most racist and enduring policies,4,4,1.0,0.5,True,Inflammatory Language,name-calling,adjudicated_prompt2|claude_haiku_prompt5|gemini_flash_prompt5|gpt5mini_prompt5
senate confirms judge who attacked roe v wade ca__p0__c1,"senate confirms judge who attacked roe v. wade, called being transgender 'a delusion'",0,his extreme views on both fronts,2,2,0.564103,0.5,True,Persuasive Propaganda,exaggeration,adjudicated_prompt2|gpt5mini_prompt5
senate confirms judge who attacked roe v wade ca__p1__c1,"senate confirms judge who attacked roe v. wade, called being transgender 'a delusion'",1,"called being transgender ""a delusion.""",2,2,0.564103,0.5,True,Inflammatory Language,demonization,adjudicated_prompt2|gpt5mini_prompt5
senate confirms judge who attacked roe v wade ca__p1__c2,"senate confirms judge who attacked roe v. wade, called being transgender 'a delusion'",1,autonomous blob of Silly Putty,2,2,0.564103,0.5,True,Inflammatory Language,name-calling,adjudicated_prompt2|gpt5mini_prompt5
senate confirms judge who attacked roe v wade ca__p2__c1,"senate confirms judge who attacked roe v. wade, called being transgender 'a delusion'",2,"young, right-wing ideologues",2,2,0.564103,0.5,True,Inflammatory Language,name-calling,adjudicated_prompt2|gpt5mini_prompt5
senate confirms judge who attacked roe v wade ca__p2__c2,"senate confirms judge who attacked roe v. wade, called being transgender 'a delusion'",2,bigoted views,4,4,1.0,0.5,True,Inflammatory Language,name-calling,adjudicated_prompt2|claude_haiku_prompt5|gemini_flash_prompt5|gpt5mini_prompt5
senate confirms judge who attacked roe v wade ca__p2__c3,"senate confirms judge who attacked roe v. wade, called being transgender 'a delusion'",2,one of the most extreme nominees,3,3,0.820513,0.5,True,Persuasive Propaganda,exaggeration,adjudicated_prompt2|gemini_flash_prompt5|gpt5mini_prompt5
editorial six months after californias landmark __p1__c1,"editorial: six months after california's landmark police transparency law, many agencies still won't release their records",1,deliberately sandbagging the release of these records,3,3,0.820513,0.5,True,Inflammatory Language,name-calling,adjudicated_prompt2|gemini_flash_prompt5|gpt5mini_prompt5
editorial six months after californias landmark __p1__c2,"editorial: six months after california's landmark police transparency law, many agencies still won't release their records",1,This is lawless conduct,3,3,0.820513,0.5,True,Inflammatory Language,demonization,adjudicated_prompt2|gemini_flash_prompt5|gpt5mini_prompt5
editorial six months after californias landmark __p2__c1,"editorial: six months after california's landmark police transparency law, many agencies still won't release their records",2,Becerra's obvious bias toward the police groups,3,3,0.820513,0.5,True,Persuasive Propaganda,doubt,adjudicated_prompt2|gemini_flash_prompt5|gpt5mini_prompt5
buzzfeed journalists protest in push for union r__p0__c1,BuzzFeed Journalists Protest in Push for Union Recognition,0,Recognize the BuzzFeed Union!!,4,4,1.0,0.5,True,Persuasive Propaganda,slogans,adjudicated_prompt2|claude_haiku_prompt5|gemini_flash_prompt5|gpt5mini_prompt5
buzzfeed journalists protest in push for union r__p1__c1,BuzzFeed Journalists Protest in Push for Union Recognition,1,skyrocketing health insurance costs,2,2,0.564103,0.5,True,Persuasive Propaganda,exaggeration,adjudicated_prompt2|gpt5mini_prompt5
dc mayor says trumps fourth of july celebration __p1__c1,DC mayor says Trump's Fourth of July celebration emptied security fund,1,Baby Trump,1,1,0.282051,0.5,False,Inflammatory Language,name-calling,gpt5mini_prompt5
dc mayor says trumps fourth of july celebration __p1__c2,DC mayor says Trump's Fourth of July celebration emptied security fund,1,Dump Trump,2,2,0.538462,0.5,True,Persuasive Propaganda,slogans,gemini_flash_prompt5|gpt5mini_prompt5
dc mayor says trumps fourth of july celebration __p2__c1,DC mayor says Trump's Fourth of July celebration emptied security fund,2,Far-right extremists Proud Boys,2,2,0.564103,0.5,True,Inflammatory Language,name-calling,adjudicated_prompt2|gpt5mini_prompt5
protest in madrid as conservatives suspend ban o__p0__c1,Protest in Madrid as conservatives suspend ban on most polluting cars,0,We aspire to have a Madrid without smoke,2,2,0.564103,0.5,True,Persuasive Propaganda,slogans,adjudicated_prompt2|gpt5mini_prompt5
protest in madrid as conservatives suspend ban o__p0__c2,Protest in Madrid as conservatives suspend ban on most polluting cars,0,"Yes we can, I do want Madrid central",2,2,0.564103,0.5,True,Persuasive Propaganda,slogans,adjudicated_prompt2|gpt5mini_prompt5
protest in madrid as conservatives suspend ban o__p0__c3,Protest in Madrid as conservatives suspend ban on most polluting cars,0,I want to breathe free,2,2,0.564103,0.5,True,Persuasive Propaganda,slogans,adjudicated_prompt2|gpt5mini_prompt5
protest in madrid as conservatives suspend ban o__p1__c1,Protest in Madrid as conservatives suspend ban on most polluting cars,1,slashed air pollution levels from car emissions in the center to record lows,2,2,0.564103,0.5,True,Persuasive Propaganda,exaggeration,adjudicated_prompt2|gpt5mini_prompt5
tutankhamun sculptures london auction sparks egy__p1__c1,tutankhamun sculpture's london auction sparks egyptian outcry,1,"appears to have been ""stolen"" in the 1970s",1,1,0.282051,0.5,False,Persuasive Propaganda,doubt,gpt5mini_prompt5
tutankhamun sculptures london auction sparks egy__p1__c2,tutankhamun sculpture's london auction sparks egyptian outcry,1,They have given false information,1,1,0.282051,0.5,False,Persuasive Propaganda,doubt,gpt5mini_prompt5
meghan markle has been branded difficult by tabl__p0__c1,meghan markle has been branded 'difficult' by tabloids. it's the same sexism that demonizes driven women in the workplace.,0,duchess difficult,4,6,1.0,0.5,True,Inflammatory Language,name-calling,adjudicated_prompt2|claude_haiku_prompt5|gemini_flash_prompt5|gpt5mini_prompt5
meghan markle has been branded difficult by tabl__p0__c2,meghan markle has been branded 'difficult' by tabloids. it's the same sexism that demonizes driven women in the workplace.,0,"labeled ""difficult"" and unpopular because it seems that she's ""running the show.""",1,1,0.282051,0.5,False,Inflammatory Language,name-calling,gpt5mini_prompt5
meghan markle has been branded difficult by tabl__p0__c3,meghan markle has been branded 'difficult' by tabloids. it's the same sexism that demonizes driven women in the workplace.,0,"women are more often called ""abrasive"" and ""bossy"" in performance reviews",1,1,0.282051,0.5,False,Inflammatory Language,name-calling,gpt5mini_prompt5
meghan markle has been branded difficult by tabl__p0__c4,meghan markle has been branded 'difficult' by tabloids. it's the same sexism that demonizes driven women in the workplace.,0,difficult divas,3,3,0.820513,0.5,True,Inflammatory Language,name-calling,adjudicated_prompt2|gemini_flash_prompt5|gpt5mini_prompt5
meghan markle has been branded difficult by tabl__p0__c5,meghan markle has been branded 'difficult' by tabloids. it's the same sexism that demonizes driven women in the workplace.,0,sexism that often demonizes driven women,3,5,0.820513,0.5,True,Inflammatory Language,demonization,adjudicated_prompt2|gemini_flash_prompt5|gpt5mini_prompt5
biden criticizes amazon for paying 0 in corporat__p1__c1,Biden criticizes Amazon for paying $0 in corporate taxes,1,treated inhumanely,2,2,0.538462,0.5,True,Inflammatory Language,demonization,gemini_flash_prompt5|gpt5mini_prompt5
biden criticizes amazon for paying 0 in corporat__p2__c1,Biden criticizes Amazon for paying $0 in corporate taxes,2,Amazon crushes small companies,2,2,0.538462,0.5,True,Inflammatory Language,demonization,gemini_flash_prompt5|gpt5mini_prompt5
biden criticizes amazon for paying 0 in corporat__p3__c1,Biden criticizes Amazon for paying $0 in corporate taxes,3,"colluding with Democrats to ""discriminate"" against him",1,1,0.282051,0.5,False,Persuasive Propaganda,doubt,gpt5mini_prompt5
trump vows to cure cancer and eradicate aids__p0__c1,trump vows to cure cancer and eradicate aids,0,We will come up with the cures,1,1,0.282051,0.5,False,Persuasive Propaganda,exaggeration,gpt5mini_prompt5
trump vows to cure cancer and eradicate aids__p1__c1,trump vows to cure cancer and eradicate aids,1,you're going to see the single most important thing that changes America,1,1,0.282051,0.5,False,Persuasive Propaganda,exaggeration,gpt5mini_prompt5
trump vows to cure cancer and eradicate aids__p2__c1,trump vows to cure cancer and eradicate aids,2,We will eradicate AIDS in America once and for all,2,2,0.564103,0.5,True,Persuasive Propaganda,exaggeration,adjudicated_prompt2|gpt5mini_prompt5
donald trumps criminal justice reform shows resu__p0__c1,donald trump's criminal justice reform shows results,0,does nothing to rehabilitate.,2,2,0.564103,0.5,True,Persuasive Propaganda,casual oversimplification,adjudicated_prompt2|gpt5mini_prompt5
donald trumps criminal justice reform shows resu__p2__c1,donald trump's criminal justice reform shows results,2,"to appear ""soft on crime,""",2,2,0.564103,0.5,True,Persuasive Propaganda,slogans,adjudicated_prompt2|gpt5mini_prompt5
donald trumps criminal justice reform shows resu__p3__c1,donald trump's criminal justice reform shows results,3,little more than a system for warehousing human beings,3,3,0.820513,0.5,True,Persuasive Propaganda,exaggeration,adjudicated_prompt2|gemini_flash_prompt5|gpt5mini_prompt5
gop lawmaker suggests colin kaepernick move to a__p1__c1,GOP lawmaker suggests Colin Kaepernick move to a different country,1,very radical people,4,4,1.0,0.5,True,Inflammatory Language,name-calling,adjudicated_prompt2|claude_haiku_prompt5|gemini_flash_prompt5|gpt5mini_prompt5
trump hits polling on fox news something weird g__p0__c1,Trump hits polling on Fox News: 'Something weird going on at Fox',0,"""something weird"" is happening at the network",1,1,0.282051,0.5,False,Persuasive Propaganda,doubt,gpt5mini_prompt5
trump hits polling on fox news something weird g__p0__c2,Trump hits polling on Fox News: 'Something weird going on at Fox',0,Crooked Hillary,4,5,1.0,0.5,True,Inflammatory Language,name-calling,adjudicated_prompt2|claude_haiku_prompt5|gemini_flash_prompt5|gpt5mini_prompt5
trump hits polling on fox news something weird g__p0__c3,Trump hits polling on Fox News: 'Something weird going on at Fox',0,Something weird going on at Fox,2,2,0.538462,0.5,True,Persuasive Propaganda,doubt,gemini_flash_prompt5|gpt5mini_prompt5
trump hits polling on fox news something weird g__p0__c4,Trump hits polling on Fox News: 'Something weird going on at Fox',0,More Fake News,2,2,0.538462,0.5,True,Inflammatory Language,name-calling,gemini_flash_prompt5|gpt5mini_prompt5
trump hits polling on fox news something weird g__p1__c1,Trump hits polling on Fox News: 'Something weird going on at Fox',1,only fake polls,2,2,0.538462,0.5,True,Persuasive Propaganda,doubt,gemini_flash_prompt5|gpt5mini_prompt5
trump hits polling on fox news something weird g__p1__c2,Trump hits polling on Fox News: 'Something weird going on at Fox',1,Motley Crew,3,3,0.820513,0.5,True,Inflammatory Language,name-calling,adjudicated_prompt2|gemini_flash_prompt5|gpt5mini_prompt5
trump hits polling on fox news something weird g__p1__c3,Trump hits polling on Fox News: 'Something weird going on at Fox',1,MAKE AMERICA GREAT AGAIN!,3,3,0.820513,0.5,True,Persuasive Propaganda,slogans,adjudicated_prompt2|gemini_flash_prompt5|gpt5mini_prompt5
if youre directly complicit in spreading hate co__p0__c1,"'if you're directly complicit in spreading hate, consider dining at home': restaurant owner who kicked sarah sanders out last year defends chicago server who spat on eric trump in a cocktail bar",0,politicians involved in 'spreading hate',2,2,0.564103,0.5,True,Inflammatory Language,name-calling,adjudicated_prompt2|gpt5mini_prompt5
if youre directly complicit in spreading hate co__p1__c1,"'if you're directly complicit in spreading hate, consider dining at home': restaurant owner who kicked sarah sanders out last year defends chicago server who spat on eric trump in a cocktail bar",1,unsavory individual,4,4,1.0,0.5,True,Inflammatory Language,name-calling,adjudicated_prompt2|claude_haiku_prompt5|gemini_flash_prompt5|gpt5mini_prompt5
if youre directly complicit in spreading hate co__p1__c2,"'if you're directly complicit in spreading hate, consider dining at home': restaurant owner who kicked sarah sanders out last year defends chicago server who spat on eric trump in a cocktail bar",1,trashing norms and breaking backs,3,3,0.820513,0.5,True,Inflammatory Language,demonization,adjudicated_prompt2|gemini_flash_prompt5|gpt5mini_prompt5
if youre directly complicit in spreading hate co__p2__c1,"'if you're directly complicit in spreading hate, consider dining at home': restaurant owner who kicked sarah sanders out last year defends chicago server who spat on eric trump in a cocktail bar",2,directly complicit in spreading hate or perpetuating suffering,3,3,0.820513,0.5,True,Inflammatory Language,demonization,adjudicated_prompt2|gemini_flash_prompt5|gpt5mini_prompt5
donald trump jr mocks roy moore after campaign a__p0__c1,"Donald Trump Jr. mocks Roy Moore after campaign announcement, reigniting feud",0,Based on the allegations I'd stay away from that,2,2,0.564103,0.5,True,Persuasive Propaganda,doubt,adjudicated_prompt2|gpt5mini_prompt5
donald trump jr mocks roy moore after campaign a__p0__c2,"Donald Trump Jr. mocks Roy Moore after campaign announcement, reigniting feud",0,This can't be real... can it?,1,1,0.282051,0.5,False,Persuasive Propaganda,doubt,gpt5mini_prompt5
donald trump jr mocks roy moore after campaign a__p1__c1,"Donald Trump Jr. mocks Roy Moore after campaign announcement, reigniting feud",1,"You're literally the only candidate who could lose a GOP seat in pro-Trump, pro-USA ALABAMA",2,2,0.564103,0.5,True,Persuasive Propaganda,exaggeration,adjudicated_prompt2|gpt5mini_prompt5
donald trump jr mocks roy moore after campaign a__p1__c2,"Donald Trump Jr. mocks Roy Moore after campaign announcement, reigniting feud",1,he's doing a disservice to all conservatives across the country,2,2,0.564103,0.5,True,Persuasive Propaganda,exaggeration,adjudicated_prompt2|gpt5mini_prompt5
donald trump jr mocks roy moore after campaign a__p1__c3,"Donald Trump Jr. mocks Roy Moore after campaign announcement, reigniting feud",1,This is pure fake news,3,3,0.820513,0.5,True,Persuasive Propaganda,doubt,adjudicated_prompt2|gemini_flash_prompt5|gpt5mini_prompt5
donald trump jr mocks roy moore after campaign a__p2__c1,"Donald Trump Jr. mocks Roy Moore after campaign announcement, reigniting feud",2,gift wrapping this Senate seat for Chuck Schumer,2,2,0.564103,0.5,True,Persuasive Propaganda,exaggeration,adjudicated_prompt2|gpt5mini_prompt5
donald trump jr mocks roy moore after campaign a__p2__c2,"Donald Trump Jr. mocks Roy Moore after campaign announcement, reigniting feud",2,collapsing under its own weight,2,2,0.564103,0.5,True,Persuasive Propaganda,exaggeration,adjudicated_prompt2|gpt5mini_prompt5
donald trump jr mocks roy moore after campaign a__p2__c3,"Donald Trump Jr. mocks Roy Moore after campaign announcement, reigniting feud",2,anyone but Roy Moore,2,2,0.564103,0.5,True,Persuasive Propaganda,slogans,adjudicated_prompt2|gpt5mini_prompt5
rmv fail 546 license suspensions more to come__p0__c1,"RMV Fail: 546 license suspensions, more to come",0,deadly bureaucratic failure,4,4,1.0,0.5,True,Persuasive Propaganda,exaggeration,adjudicated_prompt2|claude_haiku_prompt5|gemini_flash_prompt5|gpt5mini_prompt5
rmv fail 546 license suspensions more to come__p2__c1,"RMV Fail: 546 license suspensions, more to come",2,Timeline of the RMV's fatal failure,1,1,0.282051,0.5,False,Persuasive Propaganda,exaggeration,gpt5mini_prompt5
rmv fail 546 license suspensions more to come__p3__c1,"RMV Fail: 546 license suspensions, more to come",3,whether any RMV employees have been disciplined for the deadly oversight or why,1,1,0.282051,0.5,False,Persuasive Propaganda,exaggeration,gpt5mini_prompt5
killer of 16yearold new york girl in 1980 releas__p0__c1,Killer of 16-year-old New York girl in 1980 released on parole despite outrage,0,the most brutal murder he had ever seen,2,2,0.564103,0.5,True,Persuasive Propaganda,exaggeration,adjudicated_prompt2|gpt5mini_prompt5
killer of 16yearold new york girl in 1980 releas__p3__c1,Killer of 16-year-old New York girl in 1980 released on parole despite outrage,3,this rapist and murderer,3,3,0.820513,0.5,True,Inflammatory Language,name-calling,adjudicated_prompt2|gemini_flash_prompt5|gpt5mini_prompt5
ocasiocortez sanders call for climate change eme__p0__c1,"Ocasio-Cortez, Sanders call for climate change emergency mobilization, seeks a re-do of failed Green New Deal",0,so-called emergency,2,2,0.564103,0.5,True,Persuasive Propaganda,doubt,adjudicated_prompt2|gpt5mini_prompt5
ocasiocortez sanders call for climate change eme__p1__c1,"Ocasio-Cortez, Sanders call for climate change emergency mobilization, seeks a re-do of failed Green New Deal",1,"radical, top-down, socialist makeover",3,3,0.820513,0.5,True,Inflammatory Language,name-calling,adjudicated_prompt2|gemini_flash_prompt5|gpt5mini_prompt5
ocasiocortez sanders call for climate change eme__p2__c1,"Ocasio-Cortez, Sanders call for climate change emergency mobilization, seeks a re-do of failed Green New Deal",2,devastate the economy and trigger massive tax increases,2,2,0.564103,0.5,True,Persuasive Propaganda,exaggeration,adjudicated_prompt2|gpt5mini_prompt5
ocasiocortez sanders call for climate change eme__p2__c2,"Ocasio-Cortez, Sanders call for climate change emergency mobilization, seeks a re-do of failed Green New Deal",2,phony national emergencies,3,3,0.820513,0.5,True,Inflammatory Language,name-calling,adjudicated_prompt2|gemini_flash_prompt5|gpt5mini_prompt5
ocasiocortez sanders call for climate change eme__p2__c3,"Ocasio-Cortez, Sanders call for climate change emergency mobilization, seeks a re-do of failed Green New Deal",2,calling it a hoax,1,1,0.282051,0.5,False,Persuasive Propaganda,doubt,gpt5mini_prompt5
