article_title,paragraph_index,cluster_status,vote_pattern,representative_accept,representative_deny,representative_total_votes,representative_accept_rate,subcategory,category,representative_text,representative_meta,cluster_member_count,cluster_metas,cluster_texts
Did Jared Kushner Violate the Hatch Act? Democrats Request Investigation After Kellyanne Conway Findings,1,majority_accept,3-0,3,0,3,1,doubt,persuasive propaganda,We have strong reason to believe that Jared Kushner is in violation of both the spirit and the letter,Prerana,1,Prerana,We have strong reason to believe that Jared Kushner is in violation of both the spirit and the letter
Did Jared Kushner Violate the Hatch Act? Democrats Request Investigation After Kellyanne Conway Findings,1,majority_accept,2-1,2,1,3,0.6666666667,doubt,persuasive propaganda,"Kushner's ""poor track record of compliance with the spirit of the Hatch Act,",Prerana,1,Prerana,"Kushner's ""poor track record of compliance with the spirit of the Hatch Act,"
Did Jared Kushner Violate the Hatch Act? Democrats Request Investigation After Kellyanne Conway Findings,2,majority_accept,2-1,2,1,3,0.6666666667,demonization,inflammatory language,mp 'ÄãDonald Trump's Refusal to Fire Kellyanne Conway is 'Dangerous' and She Should Resign:,Prerana,1,Prerana,mp 'ÄãDonald Trump's Refusal to Fire Kellyanne Conway is 'Dangerous' and She Should Resign:
"Donald Trump Jr. mocks Roy Moore after campaign announcement, reigniting feud",0,majority_accept,2-1,2,1,3,0.6666666667,bandwagon,persuasive propaganda,"""Yes, I can win. Not only can I, they know I can.",Prerana,1,Prerana,"""Yes, I can win. Not only can I, they know I can."
"Donald Trump Jr. mocks Roy Moore after campaign announcement, reigniting feud",1,majority_accept,2-1,2,1,3,0.6666666667,demonization,inflammatory language,"If you actually care about #MAGA more than your own ego, it's time to ride off into the sunset, Judge.",Ashrey,1,Ashrey,"If you actually care about #MAGA more than your own ego, it's time to ride off into the sunset, Judge."
"Donald Trump Jr. mocks Roy Moore after campaign announcement, reigniting feud",1,majority_accept,2-1,2,1,3,0.6666666667,exaggeration,persuasive propaganda,he's doing a disservice to all conservatives,Aarush,1,Aarush,he's doing a disservice to all conservatives
"Donald Trump Jr. mocks Roy Moore after campaign announcement, reigniting feud",1,majority_accept,2-1,2,1,3,0.6666666667,scapegoating,inflammatory language,he's doing a disservice to all conservatives across the country in the process,Prerana,1,Prerana,he's doing a disservice to all conservatives across the country in the process
Gabbard was most searched Democratic candidate after debate despite getting third-lowest speaking time,1,majority_accept,3-0,3,0,3,1,casual oversimplification,persuasive propaganda,"weren't in there, they started flying planes into our buildings,""",Prerana,1,Prerana,"weren't in there, they started flying planes into our buildings,"""
Killer of 16-year-old New York girl in 1980 released on parole despite outrage,1,majority_accept,3-0,3,0,3,1,no polarizing language,no polarizing language,no polarizing language selected,Aarush,1,Aarush,no polarizing language selected
Killer of 16-year-old New York girl in 1980 released on parole despite outrage,1,majority_accept,2-1,2,1,3,0.6666666667,slogans,persuasive propaganda,"A non-profit organization ""Petition for Paula"" filed a lawsuit",Ashrey,1,Ashrey,"A non-profit organization ""Petition for Paula"" filed a lawsuit"
Killer of 16-year-old New York girl in 1980 released on parole despite outrage,2,majority_accept,2-1,2,1,3,0.6666666667,bandwagon,persuasive propaganda,HUNDREDS PROTEST PLAN TO RELEASE 16-YEAR-OLD GIRL'S CONVICTED KILLER Former New York Gov.,Prerana,1,Prerana,HUNDREDS PROTEST PLAN TO RELEASE 16-YEAR-OLD GIRL'S CONVICTED KILLER Former New York Gov.
Killer of 16-year-old New York girl in 1980 released on parole despite outrage,2,majority_accept,2-1,2,1,3,0.6666666667,exaggeration,persuasive propaganda,"hey would have to see that this man should not be out in the streets,"" Pataki said.",Prerana,1,Prerana,"hey would have to see that this man should not be out in the streets,"" Pataki said."
Killer of 16-year-old New York girl in 1980 released on parole despite outrage,2,majority_accept,3-0,3,0,3,1,no polarizing language,no polarizing language,no polarizing language selected,Ashrey,2,Aarush | Ashrey,no polarizing language selected || no polarizing language selected
Killer of 16-year-old New York girl in 1980 released on parole despite outrage,3,majority_accept,3-0,3,0,3,1,doubt,persuasive propaganda,. I don't think he's sorry.,Prerana,1,Prerana,. I don't think he's sorry.
Killer of 16-year-old New York girl in 1980 released on parole despite outrage,3,majority_accept,2-1,2,1,3,0.6666666667,doubt,persuasive propaganda,"y for it, so how can he be sorry?",Prerana,1,Prerana,"y for it, so how can he be sorry?"
Killer of 16-year-old New York girl in 1980 released on parole despite outrage,3,majority_accept,3-0,3,0,3,1,no polarizing language,no polarizing language,no polarizing language selected,Ashrey,2,Aarush | Ashrey,no polarizing language selected || no polarizing language selected
"Ocasio-Cortez, Sanders call for climate change emergency mobilization, seeks a re-do of failed Green New Deal",0,majority_accept,2-1,2,1,3,0.6666666667,casual oversimplification,persuasive propaganda,address the so-called emergency.,Aarush,1,Aarush,address the so-called emergency.
"Ocasio-Cortez, Sanders call for climate change emergency mobilization, seeks a re-do of failed Green New Deal",1,majority_accept,2-1,2,1,3,0.6666666667,name-calling,inflammatory language,"""a radical, top-down, socialist makeover of the entire U.S. economy.""",Prerana,2,Ashrey | Prerana,"a radical, top-down, socialist makeover of the entire U.S. economy."" || ""a radical, top-down, socialist makeover of the entire U.S. economy."""
"Ocasio-Cortez, Sanders call for climate change emergency mobilization, seeks a re-do of failed Green New Deal",1,majority_accept,3-0,3,0,3,1,no polarizing language,no polarizing language,no polarizing language selected,Prerana,2,Aarush | Prerana,no polarizing language selected || no polarizing language selected
"Ocasio-Cortez, Sanders call for climate change emergency mobilization, seeks a re-do of failed Green New Deal",2,majority_accept,2-1,2,1,3,0.6666666667,name-calling,inflammatory language,ely declared phony national emergencies to advance his deep,Prerana,2,Prerana,hony national emergencies to advance || ely declared phony national emergencies to advance his deep
Protest in Madrid as conservatives suspend ban on most polluting cars,1,majority_accept,2-1,2,1,3,0.6666666667,no polarizing language,no polarizing language,no polarizing language selected,Prerana,3,Aarush | Ashrey | Prerana,no polarizing language selected || no polarizing language selected || no polarizing language selected
Protesters Want All Philadelphia Police Officers Connected To Alleged Racist Social Media Posts To Be Removed From Streets,1,majority_accept,2-1,2,1,3,0.6666666667,exaggeration,persuasive propaganda,ey won't be satisfied until all officers involved in this scandal are removed from the streets.,Prerana,1,Prerana,ey won't be satisfied until all officers involved in this scandal are removed from the streets.
Protesters Want All Philadelphia Police Officers Connected To Alleged Racist Social Media Posts To Be Removed From Streets,2,majority_accept,2-1,2,1,3,0.6666666667,exaggeration,persuasive propaganda,"ore officers that are taken off the streets, the more vulnerable the city becomes to",Prerana,1,Prerana,"ore officers that are taken off the streets, the more vulnerable the city becomes to"
Protesters Want All Philadelphia Police Officers Connected To Alleged Racist Social Media Posts To Be Removed From Streets,2,majority_accept,3-0,3,0,3,1,no polarizing language,no polarizing language,no polarizing language selected,Ashrey,2,Aarush | Ashrey,no polarizing language selected || no polarizing language selected
"RMV Fail: 546 license suspensions, more to come",0,majority_accept,2-1,2,1,3,0.6666666667,exaggeration,persuasive propaganda,"In a stunning press conference detailing the scope of the crisis Monday,",Ashrey,2,Ashrey | Prerana,"In a stunning press conference detailing the scope of the crisis Monday, || In a stunning press conference detailing the scope"
"RMV Fail: 546 license suspensions, more to come",1,majority_accept,2-1,2,1,3,0.6666666667,no polarizing language,no polarizing language,no polarizing language selected,Ashrey,2,Aarush | Ashrey,no polarizing language selected || no polarizing language selected
"RMV Fail: 546 license suspensions, more to come",2,majority_accept,2-1,2,1,3,0.6666666667,doubt,persuasive propaganda,"e unknown reason, when people stopped dealing with the notifications altogether.",Prerana,1,Prerana,"e unknown reason, when people stopped dealing with the notifications altogether."
"RMV Fail: 546 license suspensions, more to come",2,majority_accept,2-1,2,1,3,0.6666666667,exaggeration,persuasive propaganda,"e RMV has ""worked around the clock"" to address the backlog",Prerana,1,Prerana,"e RMV has ""worked around the clock"" to address the backlog"
"RMV Fail: 546 license suspensions, more to come",2,majority_accept,2-1,2,1,3,0.6666666667,no polarizing language,no polarizing language,no polarizing language selected,Ashrey,2,Aarush | Ashrey,no polarizing language selected || no polarizing language selected
Trump hits polling on Fox News: 'Something weird going on at Fox',0,majority_accept,3-0,3,0,3,1,doubt,persuasive propaganda,"For the record, I didn't spend 30 hours with @abcnews , but rather a tiny fraction of that. More Fake News @BretBaier",Ashrey,1,Ashrey,"For the record, I didn't spend 30 hours with @abcnews , but rather a tiny fraction of that. More Fake News @BretBaier"
Trump hits polling on Fox News: 'Something weird going on at Fox',0,majority_accept,2-1,2,1,3,0.6666666667,doubt,persuasive propaganda,"""something weird"" is happening at the network favored by conservatives",Prerana,1,Prerana,"""something weird"" is happening at the network favored by conservatives"
Trump hits polling on Fox News: 'Something weird going on at Fox',0,majority_accept,2-1,2,1,3,0.6666666667,exaggeration,persuasive propaganda,"saying ""something weird"" is happening at the network favored by conservatives",Ashrey,1,Ashrey,"saying ""something weird"" is happening at the network favored by conservatives"
donald trump's criminal justice reform shows results,0,majority_accept,2-1,2,1,3,0.6666666667,casual oversimplification,persuasive propaganda,will become a productive member of society.,Prerana,1,Prerana,will become a productive member of society.
donald trump's criminal justice reform shows results,0,majority_accept,2-1,2,1,3,0.6666666667,exaggeration,persuasive propaganda,ehind bars does nothing to rehabilitate.,Prerana,1,Prerana,ehind bars does nothing to rehabilitate.
donald trump's criminal justice reform shows results,1,majority_accept,2-1,2,1,3,0.6666666667,exaggeration,persuasive propaganda,"me."" He didn't know how to be free. He died in priso",Prerana,1,Prerana,"me."" He didn't know how to be free. He died in priso"
donald trump's criminal justice reform shows results,1,majority_accept,3-0,3,0,3,1,no polarizing language,no polarizing language,no polarizing language selected,Ashrey,2,Aarush | Ashrey,no polarizing language selected || no polarizing language selected
donald trump's criminal justice reform shows results,3,majority_accept,2-1,2,1,3,0.6666666667,exaggeration,persuasive propaganda,That's a lot of medical expenses.,Prerana,1,Prerana,That's a lot of medical expenses.
donald trump's criminal justice reform shows results,3,majority_accept,2-1,2,1,3,0.6666666667,name-calling,inflammatory language,en about the extreme and morally damaging sentencing practices of the modern era.,Prerana,1,Prerana,en about the extreme and morally damaging sentencing practices of the modern era.
donald trump's criminal justice reform shows results,3,majority_accept,3-0,3,0,3,1,no polarizing language,no polarizing language,no polarizing language selected,Ashrey,2,Aarush | Ashrey,no polarizing language selected || no polarizing language selected
"editorial: six months after california's landmark police transparency law, many agencies still won't release their records",0,majority_accept,2-1,2,1,3,0.6666666667,casual oversimplification,persuasive propaganda,"But the public has the right to know about these very serious events, which is why it was so important to pass SB1421.",Ashrey,1,Ashrey,"But the public has the right to know about these very serious events, which is why it was so important to pass SB1421."
"editorial: six months after california's landmark police transparency law, many agencies still won't release their records",0,majority_accept,2-1,2,1,3,0.6666666667,demonization,inflammatory language,But the biggest thing we've learned is that many police departments believe that compliance with the law is optiona,Ashrey,1,Ashrey,But the biggest thing we've learned is that many police departments believe that compliance with the law is optiona
"editorial: six months after california's landmark police transparency law, many agencies still won't release their records",1,majority_accept,2-1,2,1,3,0.6666666667,doubt,persuasive propaganda,"""Law enforcement in San Francisco is deliberately sandbagging the release of these records,""",Ashrey,1,Ashrey,"""Law enforcement in San Francisco is deliberately sandbagging the release of these records,"""
"editorial: six months after california's landmark police transparency law, many agencies still won't release their records",2,majority_accept,2-1,2,1,3,0.6666666667,doubt,persuasive propaganda,groups have had a powerful champion in their attempts to deny the public thi,Prerana,1,Prerana,groups have had a powerful champion in their attempts to deny the public thi
"editorial: six months after california's landmark police transparency law, many agencies still won't release their records",3,majority_accept,3-0,3,0,3,1,no polarizing language,no polarizing language,no polarizing language selected,Aarush,1,Aarush,no polarizing language selected
"editorial: six months after california's landmark police transparency law, many agencies still won't release their records",3,majority_accept,2-1,2,1,3,0.6666666667,slogans,persuasive propaganda,No one least of all the agencies that have sworn to protect and serve the public should be allowed to thwart the law.,Ashrey,1,Ashrey,No one least of all the agencies that have sworn to protect and serve the public should be allowed to thwart the law.
george conway urges trump to resign over aborted iran strike,0,majority_accept,2-1,2,1,3,0.6666666667,doubt,persuasive propaganda,"Do the country and the world a favor. Go back to real estate, where the worst you can do is kill banks.",Ashrey,1,Ashrey,"Do the country and the world a favor. Go back to real estate, where the worst you can do is kill banks."
george conway urges trump to resign over aborted iran strike,0,majority_accept,2-1,2,1,3,0.6666666667,exaggeration,persuasive propaganda,ould therefore be grossly disproportionate t,Prerana,1,Prerana,ould therefore be grossly disproportionate t
george conway urges trump to resign over aborted iran strike,0,majority_accept,3-0,3,0,3,1,exaggeration,persuasive propaganda,o say this is amateur hour would defame amateurs.,Prerana,1,Prerana,o say this is amateur hour would defame amateurs.
george conway urges trump to resign over aborted iran strike,1,majority_accept,2-1,2,1,3,0.6666666667,name-calling,inflammatory language,To say this is amateur hour would defame amateurs,Prerana,1,Prerana,To say this is amateur hour would defame amateurs
george conway urges trump to resign over aborted iran strike,1,majority_accept,3-0,3,0,3,1,no polarizing language,no polarizing language,no polarizing language selected,Aarush,1,Aarush,no polarizing language selected
george conway urges trump to resign over aborted iran strike,3,majority_accept,2-1,2,1,3,0.6666666667,exaggeration,persuasive propaganda,slamming the commander in chief,Aarush,1,Aarush,slamming the commander in chief
meghan markle has been branded 'difficult' by tabloids. it's the same sexism that demonizes driven women in the workplace.,0,majority_accept,2-1,2,1,3,0.6666666667,bandwagon,persuasive propaganda,People love tearing down powerful women,Aarush,1,Aarush,People love tearing down powerful women
meghan markle has been branded 'difficult' by tabloids. it's the same sexism that demonizes driven women in the workplace.,0,majority_accept,2-1,2,1,3,0.6666666667,demonization,inflammatory language,"sexism that often demonizes driven women as ""abrasive"" or ""bossy",Prerana,1,Prerana,"sexism that often demonizes driven women as ""abrasive"" or ""bossy"
meghan markle has been branded 'difficult' by tabloids. it's the same sexism that demonizes driven women in the workplace.,0,majority_accept,2-1,2,1,3,0.6666666667,demonization,inflammatory language,y dismissing them as difficult divas,Prerana,1,Prerana,y dismissing them as difficult divas
"ron desantis signs amendment 4 bill, limiting felon voting",0,majority_accept,2-1,2,1,3,0.6666666667,name-calling,inflammatory language,"ublican-controlled Legislature was called a ""poll tax"" by critics",Prerana,1,Prerana,"ublican-controlled Legislature was called a ""poll tax"" by critics"
"ron desantis signs amendment 4 bill, limiting felon voting",0,majority_accept,3-0,3,0,3,1,no polarizing language,no polarizing language,no polarizing language selected,Ashrey,2,Aarush | Ashrey,no polarizing language selected || no polarizing language selected
"ron desantis signs amendment 4 bill, limiting felon voting",1,majority_accept,2-1,2,1,3,0.6666666667,name-calling,inflammatory language,out one of the most racist and enduring policie,Prerana,1,Prerana,out one of the most racist and enduring policie
"ron desantis signs amendment 4 bill, limiting felon voting",1,majority_accept,3-0,3,0,3,1,no polarizing language,no polarizing language,no polarizing language selected,Prerana,3,Aarush | Ashrey | Prerana,no polarizing language selected || no polarizing language selected || no polarizing language selected
"senate confirms judge who attacked roe v. wade, called being transgender 'a delusion'",0,majority_accept,2-1,2,1,3,0.6666666667,exaggeration,persuasive propaganda,"omen Act ""a grave mistake.",Prerana,1,Prerana,"omen Act ""a grave mistake."
"senate confirms judge who attacked roe v. wade, called being transgender 'a delusion'",0,majority_accept,3-0,3,0,3,1,no polarizing language,no polarizing language,no polarizing language selected,Ashrey,2,Aarush | Ashrey,no polarizing language selected || no polarizing language selected
"senate confirms judge who attacked roe v. wade, called being transgender 'a delusion'",2,majority_accept,2-1,2,1,3,0.6666666667,demonization,inflammatory language,selection process and funneling anti-abortion and anti-LGBTQ,Prerana,1,Prerana,selection process and funneling anti-abortion and anti-LGBTQ
"senate confirms judge who attacked roe v. wade, called being transgender 'a delusion'",2,majority_accept,2-1,2,1,3,0.6666666667,exaggeration,persuasive propaganda,He is one of Trump's most extreme nominees,Prerana,1,Prerana,He is one of Trump's most extreme nominees
"senate confirms judge who attacked roe v. wade, called being transgender 'a delusion'",2,majority_accept,3-0,3,0,3,1,name-calling,inflammatory language,"a right-wing Christian advocacy group, sounds like",Prerana,1,Prerana,"a right-wing Christian advocacy group, sounds like"
"senate confirms judge who attacked roe v. wade, called being transgender 'a delusion'",2,majority_accept,2-1,2,1,3,0.6666666667,name-calling,inflammatory language,drape black robes over these bigoted views?,Prerana,1,Prerana,drape black robes over these bigoted views?
"senate confirms judge who attacked roe v. wade, called being transgender 'a delusion'",3,majority_accept,3-0,3,0,3,1,no polarizing language,no polarizing language,no polarizing language selected,Ashrey,2,Aarush | Ashrey,no polarizing language selected || no polarizing language selected
the latest: nadler says panel will move quickly on mcgahn,1,majority_accept,2-1,2,1,3,0.6666666667,doubt,persuasive propaganda,ed answers on the questions left unanswered,Prerana,1,Prerana,ed answers on the questions left unanswered
the latest: nadler says panel will move quickly on mcgahn,1,majority_accept,2-1,2,1,3,0.6666666667,no polarizing language,no polarizing language,no polarizing language selected,Ashrey,2,Aarush | Ashrey,no polarizing language selected || no polarizing language selected
"trump rips 'horrible' new york times, washington post, wonders if people will 'demand' he stay in white house",1,majority_accept,2-1,2,1,3,0.6666666667,demonization,inflammatory language,"committed a ""virtual act of treason"" by",Prerana,1,Prerana,"committed a ""virtual act of treason"" by"
"trump rips 'horrible' new york times, washington post, wonders if people will 'demand' he stay in white house",1,majority_accept,2-1,2,1,3,0.6666666667,name-calling,inflammatory language,the Failing New York Times,Ashrey,1,Ashrey,the Failing New York Times
trump vows to cure cancer and eradicate aids,0,majority_accept,2-1,2,1,3,0.6666666667,exaggeration,persuasive propaganda,"s to many, many problems, to many, many diseases in",Prerana,1,Prerana,"s to many, many problems, to many, many diseases in"
trump vows to cure cancer and eradicate aids,1,majority_accept,2-1,2,1,3,0.6666666667,casual oversimplification,persuasive propaganda,r sought to divert money away from HIV/AIDS research t,Prerana,1,Prerana,r sought to divert money away from HIV/AIDS research t
trump vows to cure cancer and eradicate aids,2,majority_accept,2-1,2,1,3,0.6666666667,casual oversimplification,persuasive propaganda,"e will eradicate AIDS in America once and for all and we are really close,",Prerana,1,Prerana,"e will eradicate AIDS in America once and for all and we are really close,"
tutankhamun sculpture's london auction sparks egyptian outcry,0,majority_accept,3-0,3,0,3,1,no polarizing language,no polarizing language,no polarizing language selected,Ashrey,2,Ashrey,no polarizing language selected || no polarizing language selected
WE ARE LIVID!': Mural Honoring Philadelphia Police Officer Killed In Line Of Duty Vandalized,0,majority_accept,3-0,accept,3,0,3,name-calling,inflammatory language,"It's sickening and disgusting that some low-life would deface the mural of hero and fallen-officer, Robert Wilson III,",Ashrey,2,Ashrey | Prerana,"It's sickening and disgusting that some low-life would deface the mural of hero and fallen-officer, Robert Wilson III"
WE ARE LIVID!': Mural Honoring Philadelphia Police Officer Killed In Line Of Duty Vandalized,1,majority_accept,3-0,accept,3,0,3,demonization,inflammatory language,"If the DA, top persecutor of this city, can tarnish the efforts and life of a slain officer while backing criminals then,",Ashrey,2,Ashrey | Prerana,"If the DA, top persecutor of this city, can tarnish the efforts and life of a slain officer while backing criminals then,"
