article_id,article_title,paragraph_index,original_polarizing_count,reconstructed_polarizing_count,changed,signature,retained_rows,original_labels,reconstructed_labels
7,george conway urges trump to resign over aborted iran strike,0,3,3,False,"{""has_npl_2_1"": false, ""has_npl_3_0"": false, ""has_polarizing_2_1"": true, ""has_polarizing_3_0"": true}","[{""meta"": ""Ashrey"", ""subcategory"": ""doubt"", ""vote_pattern"": ""2-1"", ""text"": ""Do the country and the world a favor. Go back to real estate, where the worst you can do is kill banks.""}, {""meta"": ""Prerana"", ""subcategory"": ""exaggeration"", ""vote_pattern"": ""2-1"", ""text"": ""ould therefore be grossly disproportionate t""}, {""meta"": ""Prerana"", ""subcategory"": ""exaggeration"", ""vote_pattern"": ""3-0"", ""text"": ""o say this is amateur hour would defame amateurs.""}]","{""Aarush"": ""polarizing language"", ""Ashrey"": ""polarizing language"", ""Prerana"": ""polarizing language""}","{""Aarush"": ""polarizing language"", ""Ashrey"": ""polarizing language"", ""Prerana"": ""polarizing language""}"
7,george conway urges trump to resign over aborted iran strike,1,2,2,False,"{""has_npl_2_1"": false, ""has_npl_3_0"": true, ""has_polarizing_2_1"": true, ""has_polarizing_3_0"": false}","[{""meta"": ""Prerana"", ""subcategory"": ""name-calling"", ""vote_pattern"": ""2-1"", ""text"": ""To say this is amateur hour would defame amateurs""}, {""meta"": ""Aarush"", ""subcategory"": ""no polarizing language"", ""vote_pattern"": ""3-0"", ""text"": ""no polarizing language selected""}]","{""Aarush"": ""no polarizing language"", ""Ashrey"": ""polarizing language"", ""Prerana"": ""polarizing language""}","{""Aarush"": ""no polarizing language"", ""Ashrey"": ""polarizing language"", ""Prerana"": ""polarizing language""}"
7,george conway urges trump to resign over aborted iran strike,3,3,2,True,"{""has_npl_2_1"": false, ""has_npl_3_0"": false, ""has_polarizing_2_1"": true, ""has_polarizing_3_0"": false}","[{""meta"": ""Aarush"", ""subcategory"": ""exaggeration"", ""vote_pattern"": ""2-1"", ""text"": ""slamming the commander in chief""}]","{""Aarush"": ""polarizing language"", ""Ashrey"": ""polarizing language"", ""Prerana"": ""polarizing language""}","{""Aarush"": ""polarizing language"", ""Ashrey"": ""no polarizing language"", ""Prerana"": ""polarizing language""}"
8,Did Jared Kushner Violate the Hatch Act? Democrats Request Investigation After Kellyanne Conway Findings,0,1,3,True,"{""has_npl_2_1"": true, ""has_npl_3_0"": false, ""has_polarizing_2_1"": false, ""has_polarizing_3_0"": true}","[{""meta"": ""Prerana"", ""subcategory"": ""doubt"", ""vote_pattern"": ""3-0"", ""text"": ""Democratic congressman on Monday to demand an investigation into whether the president's son-in-law Jared Kushner similarly broke federal law.""}, {""meta"": ""Ashrey"", ""subcategory"": ""no polarizing language"", ""vote_pattern"": ""2-1"", ""text"": ""no polarizing language selected""}]","{""Aarush"": ""no polarizing language"", ""Ashrey"": ""no polarizing language"", ""Prerana"": ""polarizing language""}","{""Aarush"": ""polarizing language"", ""Ashrey"": ""polarizing language"", ""Prerana"": ""polarizing language""}"
8,Did Jared Kushner Violate the Hatch Act? Democrats Request Investigation After Kellyanne Conway Findings,1,2,3,True,"{""has_npl_2_1"": false, ""has_npl_3_0"": false, ""has_polarizing_2_1"": true, ""has_polarizing_3_0"": true}","[{""meta"": ""Ashrey"", ""subcategory"": ""demonization"", ""vote_pattern"": ""2-1"", ""text"": ""benefited from special treatment; as with his many deceptions regarding his security clearance this is something no rank-and-file federal employee would get away with""}, {""meta"": ""Prerana"", ""subcategory"": ""doubt"", ""vote_pattern"": ""3-0"", ""text"": ""We have strong reason to believe that Jared Kushner is in violation of both the spirit and the letter""}, {""meta"": ""Prerana"", ""subcategory"": ""doubt"", ""vote_pattern"": ""2-1"", ""text"": ""Kushner's \""poor track record of compliance with the spirit of the Hatch Act,""}]","{""Aarush"": ""no polarizing language"", ""Ashrey"": ""polarizing language"", ""Prerana"": ""polarizing language""}","{""Aarush"": ""polarizing language"", ""Ashrey"": ""polarizing language"", ""Prerana"": ""polarizing language""}"
8,Did Jared Kushner Violate the Hatch Act? Democrats Request Investigation After Kellyanne Conway Findings,2,1,2,True,"{""has_npl_2_1"": false, ""has_npl_3_0"": false, ""has_polarizing_2_1"": true, ""has_polarizing_3_0"": false}","[{""meta"": ""Prerana"", ""subcategory"": ""demonization"", ""vote_pattern"": ""2-1"", ""text"": ""mp '\u00c4\u00e3Donald Trump's Refusal to Fire Kellyanne Conway is 'Dangerous' and She Should Resign:""}]","{""Aarush"": ""no polarizing language"", ""Ashrey"": ""no polarizing language"", ""Prerana"": ""polarizing language""}","{""Aarush"": ""polarizing language"", ""Ashrey"": ""no polarizing language"", ""Prerana"": ""polarizing language""}"
9,"ron desantis signs amendment 4 bill, limiting felon voting",0,1,2,True,"{""has_npl_2_1"": false, ""has_npl_3_0"": true, ""has_polarizing_2_1"": true, ""has_polarizing_3_0"": false}","[{""meta"": ""Prerana"", ""subcategory"": ""name-calling"", ""vote_pattern"": ""2-1"", ""text"": ""ublican-controlled Legislature was called a \""poll tax\"" by critics""}, {""meta"": ""Ashrey"", ""subcategory"": ""no polarizing language"", ""vote_pattern"": ""3-0"", ""text"": ""no polarizing language selected""}]","{""Aarush"": ""no polarizing language"", ""Ashrey"": ""no polarizing language"", ""Prerana"": ""polarizing language""}","{""Aarush"": ""polarizing language"", ""Ashrey"": ""no polarizing language"", ""Prerana"": ""polarizing language""}"
9,"ron desantis signs amendment 4 bill, limiting felon voting",1,1,2,True,"{""has_npl_2_1"": false, ""has_npl_3_0"": true, ""has_polarizing_2_1"": true, ""has_polarizing_3_0"": false}","[{""meta"": ""Prerana"", ""subcategory"": ""name-calling"", ""vote_pattern"": ""2-1"", ""text"": ""out one of the most racist and enduring policie""}, {""meta"": ""Prerana"", ""subcategory"": ""no polarizing language"", ""vote_pattern"": ""3-0"", ""text"": ""no polarizing language selected""}]","{""Aarush"": ""no polarizing language"", ""Ashrey"": ""no polarizing language"", ""Prerana"": ""polarizing language""}","{""Aarush"": ""polarizing language"", ""Ashrey"": ""no polarizing language"", ""Prerana"": ""polarizing language""}"
10,"senate confirms judge who attacked roe v. wade, called being transgender 'a delusion'",0,1,2,True,"{""has_npl_2_1"": false, ""has_npl_3_0"": true, ""has_polarizing_2_1"": true, ""has_polarizing_3_0"": false}","[{""meta"": ""Prerana"", ""subcategory"": ""exaggeration"", ""vote_pattern"": ""2-1"", ""text"": ""omen Act \""a grave mistake.""}, {""meta"": ""Ashrey"", ""subcategory"": ""no polarizing language"", ""vote_pattern"": ""3-0"", ""text"": ""no polarizing language selected""}]","{""Aarush"": ""no polarizing language"", ""Ashrey"": ""no polarizing language"", ""Prerana"": ""polarizing language""}","{""Aarush"": ""polarizing language"", ""Ashrey"": ""no polarizing language"", ""Prerana"": ""polarizing language""}"
10,"senate confirms judge who attacked roe v. wade, called being transgender 'a delusion'",2,2,3,True,"{""has_npl_2_1"": false, ""has_npl_3_0"": false, ""has_polarizing_2_1"": true, ""has_polarizing_3_0"": true}","[{""meta"": ""Prerana"", ""subcategory"": ""demonization"", ""vote_pattern"": ""2-1"", ""text"": ""selection process and funneling anti-abortion and anti-LGBTQ""}, {""meta"": ""Prerana"", ""subcategory"": ""exaggeration"", ""vote_pattern"": ""2-1"", ""text"": ""He is one of Trump's most extreme nominees""}, {""meta"": ""Prerana"", ""subcategory"": ""name-calling"", ""vote_pattern"": ""3-0"", ""text"": ""a right-wing Christian advocacy group, sounds like""}, {""meta"": ""Prerana"", ""subcategory"": ""name-calling"", ""vote_pattern"": ""2-1"", ""text"": ""drape black robes over these bigoted views?""}]","{""Aarush"": ""no polarizing language"", ""Ashrey"": ""polarizing language"", ""Prerana"": ""polarizing language""}","{""Aarush"": ""polarizing language"", ""Ashrey"": ""polarizing language"", ""Prerana"": ""polarizing language""}"
10,"senate confirms judge who attacked roe v. wade, called being transgender 'a delusion'",3,1,0,True,"{""has_npl_2_1"": false, ""has_npl_3_0"": true, ""has_polarizing_2_1"": false, ""has_polarizing_3_0"": false}","[{""meta"": ""Ashrey"", ""subcategory"": ""no polarizing language"", ""vote_pattern"": ""3-0"", ""text"": ""no polarizing language selected""}]","{""Aarush"": ""no polarizing language"", ""Ashrey"": ""no polarizing language"", ""Prerana"": ""polarizing language""}","{""Aarush"": ""no polarizing language"", ""Ashrey"": ""no polarizing language"", ""Prerana"": ""no polarizing language""}"
11,"editorial: six months after california's landmark police transparency law, many agencies still won't release their records",0,2,2,False,"{""has_npl_2_1"": false, ""has_npl_3_0"": false, ""has_polarizing_2_1"": true, ""has_polarizing_3_0"": false}","[{""meta"": ""Ashrey"", ""subcategory"": ""casual oversimplification"", ""vote_pattern"": ""2-1"", ""text"": ""But the public has the right to know about these very serious events, which is why it was so important to pass SB1421.""}, {""meta"": ""Ashrey"", ""subcategory"": ""demonization"", ""vote_pattern"": ""2-1"", ""text"": ""But the biggest thing we've learned is that many police departments believe that compliance with the law is optiona""}]","{""Aarush"": ""no polarizing language"", ""Ashrey"": ""polarizing language"", ""Prerana"": ""polarizing language""}","{""Aarush"": ""no polarizing language"", ""Ashrey"": ""polarizing language"", ""Prerana"": ""polarizing language""}"
11,"editorial: six months after california's landmark police transparency law, many agencies still won't release their records",1,2,2,False,"{""has_npl_2_1"": false, ""has_npl_3_0"": false, ""has_polarizing_2_1"": true, ""has_polarizing_3_0"": false}","[{""meta"": ""Ashrey"", ""subcategory"": ""doubt"", ""vote_pattern"": ""2-1"", ""text"": ""\""Law enforcement in San Francisco is deliberately sandbagging the release of these records,\""""}]","{""Aarush"": ""no polarizing language"", ""Ashrey"": ""polarizing language"", ""Prerana"": ""polarizing language""}","{""Aarush"": ""no polarizing language"", ""Ashrey"": ""polarizing language"", ""Prerana"": ""polarizing language""}"
11,"editorial: six months after california's landmark police transparency law, many agencies still won't release their records",2,2,2,False,"{""has_npl_2_1"": false, ""has_npl_3_0"": false, ""has_polarizing_2_1"": true, ""has_polarizing_3_0"": false}","[{""meta"": ""Prerana"", ""subcategory"": ""doubt"", ""vote_pattern"": ""2-1"", ""text"": ""groups have had a powerful champion in their attempts to deny the public thi""}]","{""Aarush"": ""no polarizing language"", ""Ashrey"": ""polarizing language"", ""Prerana"": ""polarizing language""}","{""Aarush"": ""no polarizing language"", ""Ashrey"": ""polarizing language"", ""Prerana"": ""polarizing language""}"
11,"editorial: six months after california's landmark police transparency law, many agencies still won't release their records",3,2,2,False,"{""has_npl_2_1"": false, ""has_npl_3_0"": true, ""has_polarizing_2_1"": true, ""has_polarizing_3_0"": false}","[{""meta"": ""Aarush"", ""subcategory"": ""no polarizing language"", ""vote_pattern"": ""3-0"", ""text"": ""no polarizing language selected""}, {""meta"": ""Ashrey"", ""subcategory"": ""slogans"", ""vote_pattern"": ""2-1"", ""text"": ""No one least of all the agencies that have sworn to protect and serve the public should be allowed to thwart the law.""}]","{""Aarush"": ""no polarizing language"", ""Ashrey"": ""polarizing language"", ""Prerana"": ""polarizing language""}","{""Aarush"": ""no polarizing language"", ""Ashrey"": ""polarizing language"", ""Prerana"": ""polarizing language""}"
12,BuzzFeed Journalists Protest in Push for Union Recognition,0,2,2,False,"{""has_npl_2_1"": false, ""has_npl_3_0"": true, ""has_polarizing_2_1"": true, ""has_polarizing_3_0"": false}","[{""meta"": ""Prerana"", ""subcategory"": ""name-calling"", ""vote_pattern"": ""2-1"", ""text"": ""also a giant inflatable rat -- a common form of protest by striking trade unions""}, {""meta"": ""Aarush"", ""subcategory"": ""no polarizing language"", ""vote_pattern"": ""3-0"", ""text"": ""no polarizing language selected""}, {""meta"": ""Prerana"", ""subcategory"": ""slogans"", ""vote_pattern"": ""2-1"", ""text"": ""Recognize the BuzzFeed Union!!\""""}]","{""Aarush"": ""no polarizing language"", ""Ashrey"": ""polarizing language"", ""Prerana"": ""polarizing language""}","{""Aarush"": ""no polarizing language"", ""Ashrey"": ""polarizing language"", ""Prerana"": ""polarizing language""}"
12,BuzzFeed Journalists Protest in Push for Union Recognition,1,1,2,True,"{""has_npl_2_1"": false, ""has_npl_3_0"": true, ""has_polarizing_2_1"": true, ""has_polarizing_3_0"": false}","[{""meta"": ""Prerana"", ""subcategory"": ""exaggeration"", ""vote_pattern"": ""2-1"", ""text"": ""unfair pay disparities, mismanaged pivots and layoffs, weak benefits, skyrocketing health insurance costs, diversity, and more""}, {""meta"": ""Ashrey"", ""subcategory"": ""no polarizing language"", ""vote_pattern"": ""3-0"", ""text"": ""no polarizing language selected""}]","{""Aarush"": ""no polarizing language"", ""Ashrey"": ""no polarizing language"", ""Prerana"": ""polarizing language""}","{""Aarush"": ""polarizing language"", ""Ashrey"": ""no polarizing language"", ""Prerana"": ""polarizing language""}"
12,BuzzFeed Journalists Protest in Push for Union Recognition,2,2,3,True,"{""has_npl_2_1"": false, ""has_npl_3_0"": false, ""has_polarizing_2_1"": false, ""has_polarizing_3_0"": true}","[{""meta"": ""Prerana"", ""subcategory"": ""name-calling"", ""vote_pattern"": ""3-0"", ""text"": ""once the darlings of the media industry""}]","{""Aarush"": ""no polarizing language"", ""Ashrey"": ""polarizing language"", ""Prerana"": ""polarizing language""}","{""Aarush"": ""polarizing language"", ""Ashrey"": ""polarizing language"", ""Prerana"": ""polarizing language""}"
13,DC mayor says Trump's Fourth of July celebration emptied security fund,0,1,0,True,"{""has_npl_2_1"": false, ""has_npl_3_0"": true, ""has_polarizing_2_1"": false, ""has_polarizing_3_0"": false}","[{""meta"": ""Ashrey"", ""subcategory"": ""no polarizing language"", ""vote_pattern"": ""3-0"", ""text"": ""no polarizing language selected""}]","{""Aarush"": ""no polarizing language"", ""Ashrey"": ""no polarizing language"", ""Prerana"": ""polarizing language""}","{""Aarush"": ""no polarizing language"", ""Ashrey"": ""no polarizing language"", ""Prerana"": ""no polarizing language""}"
13,DC mayor says Trump's Fourth of July celebration emptied security fund,1,1,3,True,"{""has_npl_2_1"": true, ""has_npl_3_0"": false, ""has_polarizing_2_1"": false, ""has_polarizing_3_0"": true}","[{""meta"": ""Ashrey"", ""subcategory"": ""no polarizing language"", ""vote_pattern"": ""2-1"", ""text"": ""no polarizing language selected""}, {""meta"": ""Prerana"", ""subcategory"": ""slogans"", ""vote_pattern"": ""3-0"", ""text"": ""Nothing America cannot do':""}]","{""Aarush"": ""no polarizing language"", ""Ashrey"": ""no polarizing language"", ""Prerana"": ""polarizing language""}","{""Aarush"": ""polarizing language"", ""Ashrey"": ""polarizing language"", ""Prerana"": ""polarizing language""}"
13,DC mayor says Trump's Fourth of July celebration emptied security fund,2,2,2,False,"{""has_npl_2_1"": false, ""has_npl_3_0"": true, ""has_polarizing_2_1"": true, ""has_polarizing_3_0"": false}","[{""meta"": ""Prerana"", ""subcategory"": ""name-calling"", ""vote_pattern"": ""2-1"", ""text"": ""More: Far-right extremists Proud Boys ou""}, {""meta"": ""Aarush"", ""subcategory"": ""no polarizing language"", ""vote_pattern"": ""3-0"", ""text"": ""no polarizing language selected""}]","{""Aarush"": ""no polarizing language"", ""Ashrey"": ""polarizing language"", ""Prerana"": ""polarizing language""}","{""Aarush"": ""no polarizing language"", ""Ashrey"": ""polarizing language"", ""Prerana"": ""polarizing language""}"
14,Protest in Madrid as conservatives suspend ban on most polluting cars,1,1,1,True,"{""has_npl_2_1"": true, ""has_npl_3_0"": false, ""has_polarizing_2_1"": false, ""has_polarizing_3_0"": false}","[{""meta"": ""Prerana"", ""subcategory"": ""no polarizing language"", ""vote_pattern"": ""2-1"", ""text"": ""no polarizing language selected""}]","{""Aarush"": ""no polarizing language"", ""Ashrey"": ""no polarizing language"", ""Prerana"": ""polarizing language""}","{""Aarush"": ""polarizing language"", ""Ashrey"": ""no polarizing language"", ""Prerana"": ""no polarizing language""}"
15,tutankhamun sculpture's london auction sparks egyptian outcry,0,1,0,True,"{""has_npl_2_1"": false, ""has_npl_3_0"": true, ""has_polarizing_2_1"": false, ""has_polarizing_3_0"": false}","[{""meta"": ""Ashrey"", ""subcategory"": ""no polarizing language"", ""vote_pattern"": ""3-0"", ""text"": ""no polarizing language selected""}]","{""Aarush"": ""no polarizing language"", ""Ashrey"": ""no polarizing language"", ""Prerana"": ""polarizing language""}","{""Aarush"": ""no polarizing language"", ""Ashrey"": ""no polarizing language"", ""Prerana"": ""no polarizing language""}"
16,meghan markle has been branded 'difficult' by tabloids. it's the same sexism that demonizes driven women in the workplace.,0,3,2,True,"{""has_npl_2_1"": false, ""has_npl_3_0"": false, ""has_polarizing_2_1"": true, ""has_polarizing_3_0"": false}","[{""meta"": ""Aarush"", ""subcategory"": ""bandwagon"", ""vote_pattern"": ""2-1"", ""text"": ""People love tearing down powerful women""}, {""meta"": ""Prerana"", ""subcategory"": ""demonization"", ""vote_pattern"": ""2-1"", ""text"": ""sexism that often demonizes driven women as \""abrasive\"" or \""bossy""}, {""meta"": ""Prerana"", ""subcategory"": ""demonization"", ""vote_pattern"": ""2-1"", ""text"": ""y dismissing them as difficult divas""}]","{""Aarush"": ""polarizing language"", ""Ashrey"": ""polarizing language"", ""Prerana"": ""polarizing language""}","{""Aarush"": ""polarizing language"", ""Ashrey"": ""no polarizing language"", ""Prerana"": ""polarizing language""}"
17,Biden criticizes Amazon for paying $0 in corporate taxes,0,3,2,True,"{""has_npl_2_1"": false, ""has_npl_3_0"": false, ""has_polarizing_2_1"": true, ""has_polarizing_3_0"": false}","[{""meta"": ""Ashrey"", ""subcategory"": ""exaggeration"", ""vote_pattern"": ""2-1"", ""text"": ""I have nothing against Amazon, but no company pulling in billions of dollars of profits should pay a lower tax rate than firefighters and teachers""}, {""meta"": ""Aarush"", ""subcategory"": ""exaggeration"", ""vote_pattern"": ""2-1"", ""text"": ""presidential candidate to slam one""}, {""meta"": ""Ashrey"", ""subcategory"": ""slogans"", ""vote_pattern"": ""2-1"", ""text"": ""We need to reward work, not just wealth""}]","{""Aarush"": ""polarizing language"", ""Ashrey"": ""polarizing language"", ""Prerana"": ""polarizing language""}","{""Aarush"": ""polarizing language"", ""Ashrey"": ""polarizing language"", ""Prerana"": ""no polarizing language""}"
17,Biden criticizes Amazon for paying $0 in corporate taxes,1,2,2,False,"{""has_npl_2_1"": false, ""has_npl_3_0"": false, ""has_polarizing_2_1"": true, ""has_polarizing_3_0"": false}","[{""meta"": ""Prerana"", ""subcategory"": ""demonization"", ""vote_pattern"": ""2-1"", ""text"": ""who said they were treated inhumanely at the facilitie""}]","{""Aarush"": ""polarizing language"", ""Ashrey"": ""no polarizing language"", ""Prerana"": ""polarizing language""}","{""Aarush"": ""polarizing language"", ""Ashrey"": ""no polarizing language"", ""Prerana"": ""polarizing language""}"
17,Biden criticizes Amazon for paying $0 in corporate taxes,3,1,1,False,"{""has_npl_2_1"": true, ""has_npl_3_0"": false, ""has_polarizing_2_1"": false, ""has_polarizing_3_0"": false}","[{""meta"": ""Ashrey"", ""subcategory"": ""no polarizing language"", ""vote_pattern"": ""2-1"", ""text"": ""no polarizing language selected""}]","{""Aarush"": ""no polarizing language"", ""Ashrey"": ""no polarizing language"", ""Prerana"": ""polarizing language""}","{""Aarush"": ""no polarizing language"", ""Ashrey"": ""no polarizing language"", ""Prerana"": ""polarizing language""}"
18,trump vows to cure cancer and eradicate aids,0,2,2,False,"{""has_npl_2_1"": false, ""has_npl_3_0"": false, ""has_polarizing_2_1"": true, ""has_polarizing_3_0"": false}","[{""meta"": ""Prerana"", ""subcategory"": ""exaggeration"", ""vote_pattern"": ""2-1"", ""text"": ""s to many, many problems, to many, many diseases in""}]","{""Aarush"": ""polarizing language"", ""Ashrey"": ""no polarizing language"", ""Prerana"": ""polarizing language""}","{""Aarush"": ""polarizing language"", ""Ashrey"": ""no polarizing language"", ""Prerana"": ""polarizing language""}"
18,trump vows to cure cancer and eradicate aids,1,2,2,False,"{""has_npl_2_1"": false, ""has_npl_3_0"": false, ""has_polarizing_2_1"": true, ""has_polarizing_3_0"": false}","[{""meta"": ""Prerana"", ""subcategory"": ""casual oversimplification"", ""vote_pattern"": ""2-1"", ""text"": ""r sought to divert money away from HIV/AIDS research t""}]","{""Aarush"": ""no polarizing language"", ""Ashrey"": ""polarizing language"", ""Prerana"": ""polarizing language""}","{""Aarush"": ""no polarizing language"", ""Ashrey"": ""polarizing language"", ""Prerana"": ""polarizing language""}"
