article_index,article_title,paragraph_index,cluster_index,raw_meta,raw_subcategory,raw_span,old_accept,old_deny,new_accept,new_deny,adjudicated_vote_pattern,adjudicated_row_meta,adjudicated_row_text
11,BuzzFeed Journalists Protest in Push for Union Recognition,2,2,Prerana,name-calling,once the darlings of the media industry,1,2,3,0,3-0,Prerana,once the darlings of the media industry
12,DC mayor says Trump's Fourth of July celebration emptied security fund,0,0,Ashrey,no polarizing language,no polarizing language selected,1,2,3,0,3-0,Ashrey,no polarizing language selected
12,DC mayor says Trump's Fourth of July celebration emptied security fund,0,0,Aarush,no polarizing language,no polarizing language selected,1,2,3,0,3-0,Ashrey,no polarizing language selected
12,DC mayor says Trump's Fourth of July celebration emptied security fund,1,0,Ashrey,no polarizing language,no polarizing language selected,2,1,2,1,2-1,Ashrey,no polarizing language selected
12,DC mayor says Trump's Fourth of July celebration emptied security fund,1,0,Aarush,no polarizing language,no polarizing language selected,2,1,2,1,2-1,Ashrey,no polarizing language selected
12,DC mayor says Trump's Fourth of July celebration emptied security fund,1,1,Prerana,slogans,Nothing America cannot do':,1,2,3,0,3-0,Prerana,Nothing America cannot do':
12,DC mayor says Trump's Fourth of July celebration emptied security fund,2,3,Prerana,name-calling,More: Far-right extremists Proud Boys ou,2,1,2,1,2-1,Prerana,More: Far-right extremists Proud Boys ou
12,DC mayor says Trump's Fourth of July celebration emptied security fund,2,2,Aarush,no polarizing language,no polarizing language selected,1,2,3,0,3-0,Aarush,no polarizing language selected
7,Did Jared Kushner Violate the Hatch Act? Democrats Request Investigation After Kellyanne Conway Findings,0,1,Prerana,doubt,Democratic congressman on Monday to demand an investigation into whether the president's son-in-law Jared Kushner similarly broke federal law.,1,2,3,0,3-0,Prerana,Democratic congressman on Monday to demand an investigation into whether the president's son-in-law Jared Kushner similarly broke federal law.
7,Did Jared Kushner Violate the Hatch Act? Democrats Request Investigation After Kellyanne Conway Findings,0,0,Ashrey,no polarizing language,no polarizing language selected,2,1,2,1,2-1,Ashrey,no polarizing language selected
7,Did Jared Kushner Violate the Hatch Act? Democrats Request Investigation After Kellyanne Conway Findings,0,0,Aarush,no polarizing language,no polarizing language selected,2,1,2,1,2-1,Ashrey,no polarizing language selected
7,Did Jared Kushner Violate the Hatch Act? Democrats Request Investigation After Kellyanne Conway Findings,1,0,Ashrey,demonization,benefited from special treatment; as with his many deceptions regarding his security clearance this is something no rank-and-file federal employee would get away with,2,1,2,1,2-1,Ashrey,benefited from special treatment; as with his many deceptions regarding his security clearance this is something no rank-and-file federal employee would get away with
7,Did Jared Kushner Violate the Hatch Act? Democrats Request Investigation After Kellyanne Conway Findings,1,4,Prerana,doubt,We have strong reason to believe that Jared Kushner is in violation of both the spirit and the letter,1,2,3,0,3-0,Prerana,We have strong reason to believe that Jared Kushner is in violation of both the spirit and the letter
7,Did Jared Kushner Violate the Hatch Act? Democrats Request Investigation After Kellyanne Conway Findings,1,2,Prerana,doubt,"Kushner's ""poor track record of compliance with the spirit of the Hatch Act,",2,1,2,1,2-1,Prerana,"Kushner's ""poor track record of compliance with the spirit of the Hatch Act,"
7,Did Jared Kushner Violate the Hatch Act? Democrats Request Investigation After Kellyanne Conway Findings,2,1,Prerana,demonization,mp 'ÄãDonald Trump's Refusal to Fire Kellyanne Conway is 'Dangerous' and She Should Resign:,2,1,2,1,2-1,Prerana,mp 'ÄãDonald Trump's Refusal to Fire Kellyanne Conway is 'Dangerous' and She Should Resign:
22,"Donald Trump Jr. mocks Roy Moore after campaign announcement, reigniting feud",0,5,Prerana,bandwagon,"""Yes, I can win. Not only can I, they know I can.",2,1,2,1,2-1,Prerana,"""Yes, I can win. Not only can I, they know I can."
22,"Donald Trump Jr. mocks Roy Moore after campaign announcement, reigniting feud",1,1,Ashrey,demonization,"If you actually care about #MAGA more than your own ego, it's time to ride off into the sunset, Judge.",2,1,2,1,2-1,Ashrey,"If you actually care about #MAGA more than your own ego, it's time to ride off into the sunset, Judge."
22,"Donald Trump Jr. mocks Roy Moore after campaign announcement, reigniting feud",1,4,Aarush,exaggeration,he's doing a disservice to all conservatives,2,1,2,1,2-1,Aarush,he's doing a disservice to all conservatives
22,"Donald Trump Jr. mocks Roy Moore after campaign announcement, reigniting feud",1,5,Prerana,scapegoating,he's doing a disservice to all conservatives across the country in the process,2,1,2,1,2-1,Prerana,he's doing a disservice to all conservatives across the country in the process
26,Gabbard was most searched Democratic candidate after debate despite getting third-lowest speaking time,1,2,Prerana,casual oversimplification,"weren't in there, they started flying planes into our buildings,""",1,2,3,0,3-0,Prerana,"weren't in there, they started flying planes into our buildings,"""
24,Killer of 16-year-old New York girl in 1980 released on parole despite outrage,1,1,Aarush,no polarizing language,no polarizing language selected,1,2,3,0,3-0,Aarush,no polarizing language selected
24,Killer of 16-year-old New York girl in 1980 released on parole despite outrage,1,0,Ashrey,slogans,"A non-profit organization ""Petition for Paula"" filed a lawsuit",2,1,2,1,2-1,Ashrey,"A non-profit organization ""Petition for Paula"" filed a lawsuit"
24,Killer of 16-year-old New York girl in 1980 released on parole despite outrage,2,1,Prerana,bandwagon,HUNDREDS PROTEST PLAN TO RELEASE 16-YEAR-OLD GIRL'S CONVICTED KILLER Former New York Gov.,2,1,2,1,2-1,Prerana,HUNDREDS PROTEST PLAN TO RELEASE 16-YEAR-OLD GIRL'S CONVICTED KILLER Former New York Gov.
24,Killer of 16-year-old New York girl in 1980 released on parole despite outrage,2,3,Prerana,exaggeration,"hey would have to see that this man should not be out in the streets,"" Pataki said.",2,1,2,1,2-1,Prerana,"hey would have to see that this man should not be out in the streets,"" Pataki said."
24,Killer of 16-year-old New York girl in 1980 released on parole despite outrage,2,0,Ashrey,no polarizing language,no polarizing language selected,1,2,3,0,3-0,Ashrey,no polarizing language selected
24,Killer of 16-year-old New York girl in 1980 released on parole despite outrage,2,0,Aarush,no polarizing language,no polarizing language selected,1,2,3,0,3-0,Ashrey,no polarizing language selected
24,Killer of 16-year-old New York girl in 1980 released on parole despite outrage,3,2,Prerana,doubt,. I don't think he's sorry.,1,2,3,0,3-0,Prerana,. I don't think he's sorry.
24,Killer of 16-year-old New York girl in 1980 released on parole despite outrage,3,3,Prerana,doubt,"y for it, so how can he be sorry?",2,1,2,1,2-1,Prerana,"y for it, so how can he be sorry?"
24,Killer of 16-year-old New York girl in 1980 released on parole despite outrage,3,0,Ashrey,no polarizing language,no polarizing language selected,1,2,3,0,3-0,Ashrey,no polarizing language selected
24,Killer of 16-year-old New York girl in 1980 released on parole despite outrage,3,0,Aarush,no polarizing language,no polarizing language selected,1,2,3,0,3-0,Ashrey,no polarizing language selected
25,"Ocasio-Cortez, Sanders call for climate change emergency mobilization, seeks a re-do of failed Green New Deal",0,0,Aarush,casual oversimplification,address the so-called emergency.,2,1,2,1,2-1,Aarush,address the so-called emergency.
25,"Ocasio-Cortez, Sanders call for climate change emergency mobilization, seeks a re-do of failed Green New Deal",1,1,Ashrey,name-calling,"a radical, top-down, socialist makeover of the entire U.S. economy.""",2,1,2,1,2-1,Prerana,"""a radical, top-down, socialist makeover of the entire U.S. economy."""
25,"Ocasio-Cortez, Sanders call for climate change emergency mobilization, seeks a re-do of failed Green New Deal",1,1,Prerana,name-calling,"""a radical, top-down, socialist makeover of the entire U.S. economy.""",2,1,2,1,2-1,Prerana,"""a radical, top-down, socialist makeover of the entire U.S. economy."""
25,"Ocasio-Cortez, Sanders call for climate change emergency mobilization, seeks a re-do of failed Green New Deal",1,0,Aarush,no polarizing language,no polarizing language selected,1,2,3,0,3-0,Prerana,no polarizing language selected
25,"Ocasio-Cortez, Sanders call for climate change emergency mobilization, seeks a re-do of failed Green New Deal",1,0,Prerana,no polarizing language,no polarizing language selected,1,2,3,0,3-0,Prerana,no polarizing language selected
25,"Ocasio-Cortez, Sanders call for climate change emergency mobilization, seeks a re-do of failed Green New Deal",2,4,Prerana,name-calling,hony national emergencies to advance,1,2,2,1,2-1,Prerana,ely declared phony national emergencies to advance his deep
25,"Ocasio-Cortez, Sanders call for climate change emergency mobilization, seeks a re-do of failed Green New Deal",2,4,Prerana,name-calling,ely declared phony national emergencies to advance his deep,2,1,2,1,2-1,Prerana,ely declared phony national emergencies to advance his deep
13,Protest in Madrid as conservatives suspend ban on most polluting cars,1,0,Ashrey,no polarizing language,no polarizing language selected,2,1,2,1,2-1,Prerana,no polarizing language selected
13,Protest in Madrid as conservatives suspend ban on most polluting cars,1,0,Aarush,no polarizing language,no polarizing language selected,2,1,2,1,2-1,Prerana,no polarizing language selected
13,Protest in Madrid as conservatives suspend ban on most polluting cars,1,0,Prerana,no polarizing language,no polarizing language selected,2,1,2,1,2-1,Prerana,no polarizing language selected
3,Protesters Want All Philadelphia Police Officers Connected To Alleged Racist Social Media Posts To Be Removed From Streets,1,2,Prerana,exaggeration,ey won't be satisfied until all officers involved in this scandal are removed from the streets.,2,1,2,1,2-1,Prerana,ey won't be satisfied until all officers involved in this scandal are removed from the streets.
3,Protesters Want All Philadelphia Police Officers Connected To Alleged Racist Social Media Posts To Be Removed From Streets,2,3,Prerana,exaggeration,"ore officers that are taken off the streets, the more vulnerable the city becomes to",2,1,2,1,2-1,Prerana,"ore officers that are taken off the streets, the more vulnerable the city becomes to"
3,Protesters Want All Philadelphia Police Officers Connected To Alleged Racist Social Media Posts To Be Removed From Streets,2,0,Ashrey,no polarizing language,no polarizing language selected,1,2,3,0,3-0,Ashrey,no polarizing language selected
3,Protesters Want All Philadelphia Police Officers Connected To Alleged Racist Social Media Posts To Be Removed From Streets,2,0,Aarush,no polarizing language,no polarizing language selected,1,2,3,0,3-0,Ashrey,no polarizing language selected
23,"RMV Fail: 546 license suspensions, more to come",0,1,Ashrey,exaggeration,"In a stunning press conference detailing the scope of the crisis Monday,",2,1,2,1,2-1,Ashrey,"In a stunning press conference detailing the scope of the crisis Monday,"
23,"RMV Fail: 546 license suspensions, more to come",0,1,Prerana,exaggeration,In a stunning press conference detailing the scope,2,1,2,1,2-1,Ashrey,"In a stunning press conference detailing the scope of the crisis Monday,"
23,"RMV Fail: 546 license suspensions, more to come",1,0,Ashrey,no polarizing language,no polarizing language selected,2,1,2,1,2-1,Ashrey,no polarizing language selected
23,"RMV Fail: 546 license suspensions, more to come",1,0,Aarush,no polarizing language,no polarizing language selected,2,1,2,1,2-1,Ashrey,no polarizing language selected
23,"RMV Fail: 546 license suspensions, more to come",2,1,Prerana,doubt,"e unknown reason, when people stopped dealing with the notifications altogether.",2,1,2,1,2-1,Prerana,"e unknown reason, when people stopped dealing with the notifications altogether."
23,"RMV Fail: 546 license suspensions, more to come",2,2,Prerana,exaggeration,"e RMV has ""worked around the clock"" to address the backlog",2,1,2,1,2-1,Prerana,"e RMV has ""worked around the clock"" to address the backlog"
23,"RMV Fail: 546 license suspensions, more to come",2,0,Ashrey,no polarizing language,no polarizing language selected,2,1,2,1,2-1,Ashrey,no polarizing language selected
23,"RMV Fail: 546 license suspensions, more to come",2,0,Aarush,no polarizing language,no polarizing language selected,2,1,2,1,2-1,Ashrey,no polarizing language selected
20,Trump hits polling on Fox News: 'Something weird going on at Fox',0,1,Ashrey,doubt,"For the record, I didn't spend 30 hours with @abcnews , but rather a tiny fraction of that. More Fake News @BretBaier",1,2,3,0,3-0,Ashrey,"For the record, I didn't spend 30 hours with @abcnews , but rather a tiny fraction of that. More Fake News @BretBaier"
20,Trump hits polling on Fox News: 'Something weird going on at Fox',0,3,Prerana,doubt,"""something weird"" is happening at the network favored by conservatives",2,1,2,1,2-1,Prerana,"""something weird"" is happening at the network favored by conservatives"
20,Trump hits polling on Fox News: 'Something weird going on at Fox',0,2,Ashrey,exaggeration,"saying ""something weird"" is happening at the network favored by conservatives",2,1,2,1,2-1,Ashrey,"saying ""something weird"" is happening at the network favored by conservatives"
18,donald trump's criminal justice reform shows results,0,3,Prerana,casual oversimplification,will become a productive member of society.,2,1,2,1,2-1,Prerana,will become a productive member of society.
18,donald trump's criminal justice reform shows results,0,4,Prerana,exaggeration,ehind bars does nothing to rehabilitate.,2,1,2,1,2-1,Prerana,ehind bars does nothing to rehabilitate.
18,donald trump's criminal justice reform shows results,1,3,Prerana,exaggeration,"me."" He didn't know how to be free. He died in priso",2,1,2,1,2-1,Prerana,"me."" He didn't know how to be free. He died in priso"
18,donald trump's criminal justice reform shows results,1,0,Aarush,no polarizing language,no polarizing language selected,1,2,3,0,3-0,Ashrey,no polarizing language selected
18,donald trump's criminal justice reform shows results,1,0,Ashrey,no polarizing language,no polarizing language selected,1,2,3,0,3-0,Ashrey,no polarizing language selected
18,donald trump's criminal justice reform shows results,3,4,Prerana,exaggeration,That's a lot of medical expenses.,2,1,2,1,2-1,Prerana,That's a lot of medical expenses.
18,donald trump's criminal justice reform shows results,3,1,Prerana,name-calling,en about the extreme and morally damaging sentencing practices of the modern era.,2,1,2,1,2-1,Prerana,en about the extreme and morally damaging sentencing practices of the modern era.
18,donald trump's criminal justice reform shows results,3,0,Aarush,no polarizing language,no polarizing language selected,1,2,3,0,3-0,Ashrey,no polarizing language selected
18,donald trump's criminal justice reform shows results,3,0,Ashrey,no polarizing language,no polarizing language selected,1,2,3,0,3-0,Ashrey,no polarizing language selected
10,"editorial: six months after california's landmark police transparency law, many agencies still won't release their records",0,1,Ashrey,casual oversimplification,"But the public has the right to know about these very serious events, which is why it was so important to pass SB1421.",2,1,2,1,2-1,Ashrey,"But the public has the right to know about these very serious events, which is why it was so important to pass SB1421."
10,"editorial: six months after california's landmark police transparency law, many agencies still won't release their records",0,0,Ashrey,demonization,But the biggest thing we've learned is that many police departments believe that compliance with the law is optiona,2,1,2,1,2-1,Ashrey,But the biggest thing we've learned is that many police departments believe that compliance with the law is optiona
10,"editorial: six months after california's landmark police transparency law, many agencies still won't release their records",1,0,Ashrey,doubt,"""Law enforcement in San Francisco is deliberately sandbagging the release of these records,""",2,1,2,1,2-1,Ashrey,"""Law enforcement in San Francisco is deliberately sandbagging the release of these records,"""
10,"editorial: six months after california's landmark police transparency law, many agencies still won't release their records",2,2,Prerana,doubt,groups have had a powerful champion in their attempts to deny the public thi,2,1,2,1,2-1,Prerana,groups have had a powerful champion in their attempts to deny the public thi
10,"editorial: six months after california's landmark police transparency law, many agencies still won't release their records",3,2,Aarush,no polarizing language,no polarizing language selected,1,2,3,0,3-0,Aarush,no polarizing language selected
10,"editorial: six months after california's landmark police transparency law, many agencies still won't release their records",3,1,Ashrey,slogans,No one least of all the agencies that have sworn to protect and serve the public should be allowed to thwart the law.,2,1,2,1,2-1,Ashrey,No one least of all the agencies that have sworn to protect and serve the public should be allowed to thwart the law.
6,george conway urges trump to resign over aborted iran strike,0,2,Ashrey,doubt,"Do the country and the world a favor. Go back to real estate, where the worst you can do is kill banks.",2,1,2,1,2-1,Ashrey,"Do the country and the world a favor. Go back to real estate, where the worst you can do is kill banks."
6,george conway urges trump to resign over aborted iran strike,0,8,Prerana,exaggeration,ould therefore be grossly disproportionate t,2,1,2,1,2-1,Prerana,ould therefore be grossly disproportionate t
6,george conway urges trump to resign over aborted iran strike,0,6,Prerana,name-calling,o say this is amateur hour would defame amateurs.,1,2,3,0,3-0,Prerana,o say this is amateur hour would defame amateurs.
6,george conway urges trump to resign over aborted iran strike,1,3,Prerana,name-calling,To say this is amateur hour would defame amateurs,2,1,2,1,2-1,Prerana,To say this is amateur hour would defame amateurs
6,george conway urges trump to resign over aborted iran strike,1,2,Aarush,no polarizing language,no polarizing language selected,1,2,3,0,3-0,Aarush,no polarizing language selected
6,george conway urges trump to resign over aborted iran strike,3,1,Aarush,exaggeration,slamming the commander in chief,2,1,2,1,2-1,Aarush,slamming the commander in chief
15,meghan markle has been branded 'difficult' by tabloids. it's the same sexism that demonizes driven women in the workplace.,0,2,Aarush,bandwagon,People love tearing down powerful women,2,1,2,1,2-1,Aarush,People love tearing down powerful women
15,meghan markle has been branded 'difficult' by tabloids. it's the same sexism that demonizes driven women in the workplace.,0,3,Prerana,demonization,"sexism that often demonizes driven women as ""abrasive"" or ""bossy",2,1,2,1,2-1,Prerana,"sexism that often demonizes driven women as ""abrasive"" or ""bossy"
15,meghan markle has been branded 'difficult' by tabloids. it's the same sexism that demonizes driven women in the workplace.,0,4,Prerana,demonization,y dismissing them as difficult divas,2,1,2,1,2-1,Prerana,y dismissing them as difficult divas
8,"ron desantis signs amendment 4 bill, limiting felon voting",0,2,Prerana,name-calling,"ublican-controlled Legislature was called a ""poll tax"" by critics",2,1,2,1,2-1,Prerana,"ublican-controlled Legislature was called a ""poll tax"" by critics"
8,"ron desantis signs amendment 4 bill, limiting felon voting",0,0,Ashrey,no polarizing language,no polarizing language selected,1,2,3,0,3-0,Ashrey,no polarizing language selected
8,"ron desantis signs amendment 4 bill, limiting felon voting",0,0,Aarush,no polarizing language,no polarizing language selected,1,2,3,0,3-0,Ashrey,no polarizing language selected
8,"ron desantis signs amendment 4 bill, limiting felon voting",1,1,Prerana,name-calling,out one of the most racist and enduring policie,2,1,2,1,2-1,Prerana,out one of the most racist and enduring policie
8,"ron desantis signs amendment 4 bill, limiting felon voting",1,0,Ashrey,no polarizing language,no polarizing language selected,1,2,3,0,3-0,Prerana,no polarizing language selected
8,"ron desantis signs amendment 4 bill, limiting felon voting",1,0,Aarush,no polarizing language,no polarizing language selected,1,2,3,0,3-0,Prerana,no polarizing language selected
8,"ron desantis signs amendment 4 bill, limiting felon voting",1,0,Prerana,no polarizing language,no polarizing language selected,1,2,3,0,3-0,Prerana,no polarizing language selected
9,"senate confirms judge who attacked roe v. wade, called being transgender 'a delusion'",0,3,Prerana,exaggeration,"omen Act ""a grave mistake.",2,1,2,1,2-1,Prerana,"omen Act ""a grave mistake."
9,"senate confirms judge who attacked roe v. wade, called being transgender 'a delusion'",0,0,Ashrey,no polarizing language,no polarizing language selected,1,2,3,0,3-0,Ashrey,no polarizing language selected
9,"senate confirms judge who attacked roe v. wade, called being transgender 'a delusion'",0,0,Aarush,no polarizing language,no polarizing language selected,1,2,3,0,3-0,Ashrey,no polarizing language selected
9,"senate confirms judge who attacked roe v. wade, called being transgender 'a delusion'",2,5,Prerana,demonization,selection process and funneling anti-abortion and anti-LGBTQ,2,1,2,1,2-1,Prerana,selection process and funneling anti-abortion and anti-LGBTQ
9,"senate confirms judge who attacked roe v. wade, called being transgender 'a delusion'",2,4,Prerana,exaggeration,He is one of Trump's most extreme nominees,2,1,2,1,2-1,Prerana,He is one of Trump's most extreme nominees
9,"senate confirms judge who attacked roe v. wade, called being transgender 'a delusion'",2,3,Prerana,name-calling,"a right-wing Christian advocacy group, sounds like",1,2,3,0,3-0,Prerana,"a right-wing Christian advocacy group, sounds like"
9,"senate confirms judge who attacked roe v. wade, called being transgender 'a delusion'",2,2,Prerana,name-calling,drape black robes over these bigoted views?,2,1,2,1,2-1,Prerana,drape black robes over these bigoted views?
9,"senate confirms judge who attacked roe v. wade, called being transgender 'a delusion'",3,0,Ashrey,no polarizing language,no polarizing language selected,1,2,3,0,3-0,Ashrey,no polarizing language selected
9,"senate confirms judge who attacked roe v. wade, called being transgender 'a delusion'",3,0,Aarush,no polarizing language,no polarizing language selected,1,2,3,0,3-0,Ashrey,no polarizing language selected
4,the latest: nadler says panel will move quickly on mcgahn,1,1,Prerana,doubt,ed answers on the questions left unanswered,2,1,2,1,2-1,Prerana,ed answers on the questions left unanswered
4,the latest: nadler says panel will move quickly on mcgahn,1,0,Ashrey,no polarizing language,no polarizing language selected,2,1,2,1,2-1,Ashrey,no polarizing language selected
4,the latest: nadler says panel will move quickly on mcgahn,1,0,Aarush,no polarizing language,no polarizing language selected,2,1,2,1,2-1,Ashrey,no polarizing language selected
1,"trump rips 'horrible' new york times, washington post, wonders if people will 'demand' he stay in white house",1,5,Prerana,demonization,"committed a ""virtual act of treason"" by",2,1,2,1,2-1,Prerana,"committed a ""virtual act of treason"" by"
1,"trump rips 'horrible' new york times, washington post, wonders if people will 'demand' he stay in white house",1,0,Ashrey,name-calling,the Failing New York Times,2,1,2,1,2-1,Ashrey,the Failing New York Times
17,trump vows to cure cancer and eradicate aids,0,5,Prerana,exaggeration,"s to many, many problems, to many, many diseases in",2,1,2,1,2-1,Prerana,"s to many, many problems, to many, many diseases in"
17,trump vows to cure cancer and eradicate aids,1,6,Prerana,casual oversimplification,r sought to divert money away from HIV/AIDS research t,2,1,2,1,2-1,Prerana,r sought to divert money away from HIV/AIDS research t
17,trump vows to cure cancer and eradicate aids,2,1,Prerana,casual oversimplification,"e will eradicate AIDS in America once and for all and we are really close,",2,1,2,1,2-1,Prerana,"e will eradicate AIDS in America once and for all and we are really close,"
